,pixelID,focalAreaID,fireYear,CWDhist,AEThist,PPThist,PPThistSD,TmaxHist,TmaxHistSD,hli,tpi,aspect,eastness,northness,adjustedNorthness,adj_fold_northness,slope,elevation,burnSev,mediumReburns,lowReburns,forestType,wilderness,x,y,preFireConCov,postFireConCov,postFireSAP,postFirePlanting,pptYr1_3_annual_mean,tmaxYr1_3_mean,min_annual_ppt_Yr1_3,min_annual_ppt_t_adjusted_Yr1_3,pptYr1_3_annual_mean_t_adjusted,disturbanceSize,recoveryTime,ppt_Yr1_3_mean_annual_anom,min_annual_ppt_Yr1_3_anom,conCov_end,ARI_end,RRI_end,fire,snowPack,pixelIDsnow,geometry
0,FA-10-101,10,1987,470.7432861328125,361.7900085449219,1159.7216796875,111.93082427978516,17.783790588378906,8.834176063537598,183.14393615722656,103.77947998046876,122.8509750366211,0.8352102637290955,-0.5392916798591614,-0.2232702076435089,0.086805909872055,24.50510597229004,1652.15673828125,3.838934421539306,0.0,0.0,552,0.0,-266900.836354,365971.665811,0.3418824772040049,0.071028026441733,0.202249397834142,0.0,1048.152587890625,18.050624052683517,869.9968872070312,46.43664581056935,58.06738785492573,0.2708544507622719,32,-0.9967682496288426,-2.5884272214083337,0.230844035744667,0.159816009302934,0.5900438735754947,10-1987,392.4587097167969,FA-10-101,POINT (-123.18306734533024 41.27023617015724)
1,FA-10-153,10,1987,413.2933044433594,425.9299926757813,1206.4000244140625,116.35707092285156,17.38833236694336,8.672574043273926,224.28602600097656,101.53067779541016,182.44432067871097,-0.0408748164772987,-0.8330261707305908,-0.2838186621665954,-0.2287033647298813,20.284080505371097,1639.512451171875,3.72072696685791,0.0,0.0,552,0.0,-267440.836354,365431.665811,0.3159187535444895,0.0581847826639811,0.1264256462454795,0.0,1087.3543294270833,17.53509744008382,901.4660034179688,49.73422749707943,62.01016750220497,0.2577339708805084,32,-1.023106666769829,-2.6206746060003066,0.2161901108920574,0.1580053282280763,0.6130558873875859,10-1987,417.9873046875,FA-10-153,POINT (-123.189285991931 41.265208765817675)
2,FA-10-175,10,1987,481.9800109863281,382.8800048828125,1206.4000244140625,116.35707092285156,17.38833236694336,8.672574043273926,235.40773010253903,38.88059616088867,169.7955780029297,0.1739283204078674,-0.9650038480758668,-0.4852459132671356,-0.279018372297287,30.336101531982425,1439.468017578125,3.5257809162139893,0.0,0.0,552,0.0,-268790.836354,365161.665811,0.3380036486519708,0.1188783993323644,0.1114345714449882,0.0,1087.3543294270833,17.53509744008382,901.4660034179688,49.73422749707943,62.01016750220497,0.2191252493196064,32,-1.023106666769829,-2.6206746060003066,0.2519199326634407,0.1330415333310763,0.6071483489199723,10-1987,332.9963073730469,FA-10-175,POINT (-123.20526396777156 41.26236662363256)
3,FA-10-176,10,1987,520.0700073242188,380.4132995605469,1206.4000244140625,116.35707092285156,17.38833236694336,8.672574043273926,229.0511779785156,26.936647415161133,190.3006134033203,-0.1429753899574279,-0.8386772274971008,-0.3345977365970611,-0.2695332765579223,23.548921585083008,1436.6978759765625,3.990209579467773,0.0,0.0,552,0.0,-268520.836354,365161.665811,0.4624723328484429,0.0833982105056444,0.0810485531886418,0.2721844017505646,1087.3543294270833,17.53509744008382,901.4660034179688,49.73422749707943,62.01016750220497,0.3790741223427984,32,-1.023106666769829,-2.6206746060003066,0.2481128461658954,0.1647146356602509,0.4345182800721459,10-1987,227.2353057861328,FA-10-176,POINT (-123.20204673389823 41.26244883118409)
6,FA-10-202,10,1987,517.1533203125,381.5700073242187,1206.4000244140625,116.35707092285156,17.38833236694336,8.672574043273926,210.8560943603516,-22.649974822998047,163.61158752441406,0.2055374383926391,-0.6965187191963196,-0.2737171947956085,-0.1468538641929626,22.163896560668945,1322.506591796875,3.327073335647583,0.0,0.0,551,0.0,-268790.836354,364891.665811,0.3384657866424984,0.1093343049287796,0.0908253540595372,0.3364530503749847,1087.3543294270833,17.53509744008382,901.4660034179688,49.73422749707943,62.01016750220497,0.2291314817137188,32,-1.023106666769829,-2.6206746060003066,0.251527551561594,0.1421932466328144,0.620574901228428,10-1987,234.8123016357422,FA-10-202,POINT (-123.20515516266097 41.25993471564598)
16,FA-10-274,10,1987,514.5632934570312,428.3800048828125,1216.1600341796875,117.68424987792967,19.59583282470703,9.074932098388672,196.04135131835932,-26.59499740600586,276.4452819824219,-0.935584843158722,0.1016727089881897,0.0236043240875005,-0.1391448974609375,13.516615867614746,1035.7357177734375,3.812518358230591,0.0,0.0,551,0.0,-271220.836354,364081.665811,0.3385865506198671,0.0913747710486253,0.1010683340330918,0.5369667410850525,1084.6506754557292,19.97522211074829,899.4710083007811,43.464780041985776,54.29980550114129,0.2472117795712418,32,-1.1174762881215536,-2.691006028482131,0.1502535976469516,0.0588788265983263,0.2381716061445146,10-1987,44.83599853515625,FA-10-274,POINT (-123.23377963820165 41.25189555892206)
24,FA-10-413,10,1987,629.603271484375,366.5433044433594,1206.4000244140625,116.35707092285156,17.38833236694336,8.672574043273926,156.88963317871094,1.5279709100723269,105.7902603149414,0.9202524423599244,-0.2618520259857178,-0.1008066907525062,0.1722724884748459,22.08872604370117,1024.0931396484375,3.284842729568481,0.0,0.0,551,0.0,-270140.836354,362731.665811,0.3836289644241333,0.0907354603211085,0.0859288498759269,0.397025465965271,1087.3543294270833,17.53509744008382,901.4660034179688,49.73422749707943,62.01016750220497,0.2928935041030248,32,-1.023106666769829,-2.6206746060003066,0.194757305085659,0.1040218447645505,0.3551524472456754,10-1987,15.157299995422363,FA-10-413,POINT (-123.22036614037786 41.24006754813796)
28,FA-10-418,10,1987,551.3433227539064,443.3333129882813,1206.4000244140625,116.35707092285156,17.38833236694336,8.672574043273926,215.1871032714844,6.240743637084961,186.07818603515625,-0.0965870767831802,-0.9264922142028807,-0.2967820763587951,-0.2305514514446258,18.56351852416992,1035.2244873046875,3.164635181427002,0.0,0.0,551,0.0,-268790.836354,362731.665811,0.4208103087213304,0.1039405216773351,0.1656859417756398,0.5271536111831665,1087.3543294270833,17.53509744008382,901.4660034179688,49.73422749707943,62.01016750220497,0.3168697870439954,32,-1.023106666769829,-2.6206746060003066,0.3562256395816803,0.2522851179043452,0.7961791506153189,10-1987,6.809299945831299,FA-10-418,POINT (-123.20428498753273 41.24047968764083)
32,FA-10-451,10,1987,601.3300170898438,334.3866882324219,1180.780029296875,113.60079193115234,17.626667022705078,8.823260307312012,191.5178985595703,-32.99372482299805,138.22964477539062,0.6373072862625122,-0.7134212851524353,-0.375112384557724,-0.0274099819362163,31.85913848876953,949.0533447265624,3.51828670501709,0.0,0.0,551,0.0,-267170.836354,362461.665811,0.3030121525128682,0.0675207115709781,0.1912810703118642,0.0708948150277137,1063.2553253173828,17.894522349039715,881.7239685058594,47.45341330288283,59.41792156159122,0.2354914409418901,32,-1.0345412385040231,-2.632517394528889,0.2575924694538116,0.1900717578828334,0.8071280940088844,10-1987,6.288300037384033,FA-10-451,POINT (-123.18487927593121 41.23853966576616)
37,FA-10-477,10,1987,559.6666870117188,408.0367126464844,1197.4716796875,115.39653778076172,17.471389770507812,8.725086212158203,190.80455017089844,-13.357754707336426,138.07931518554688,0.6228637099266052,-0.6941652894020081,-0.3449698984622955,-0.018733412027359,30.352684020996097,945.8395385742189,3.84690523147583,0.0,0.0,551,0.0,-267440.836354,362191.665811,0.3572882645659976,0.0748090570171674,0.1572289814551671,0.151823028922081,1078.956090291341,17.66035270690918,894.5861206054686,48.92649811565042,61.094821162276446,0.2824792075488302,32,-1.0270289878308394,-2.624736971376681,0.3463425263762474,0.27153346935908,0.9612511721314634,10-1987,7.365699768066406,FA-10-477,POINT (-123.18798727001845 41.23602604318346)
38,FA-10-496,10,1987,612.1766967773438,358.7267150878906,1206.4000244140625,116.35707092285156,17.38833236694336,8.672574043273926,179.43148803710938,-70.0909423828125,138.9246368408203,0.582341194152832,-0.5138458609580994,-0.1877415031194687,0.0478456132113933,23.401620864868164,771.42236328125,3.7495596408844,0.0,0.0,551,0.0,-269600.836354,361921.665811,0.3551131023301018,0.0445292790730794,0.0575259290635585,0.6179943680763245,1087.3543294270833,17.53509744008382,901.4660034179688,49.73422749707943,62.01016750220497,0.3105838232570224,32,-1.023106666769829,-2.6206746060003066,0.2193836309015751,0.1748543518284956,0.562986024174851,10-1987,1.3357000350952148,FA-10-496,POINT (-123.21360652678565 41.232937150828896)
40,FA-10-507,10,1987,516.6666870117188,393.2567138671875,1180.780029296875,113.60079193115234,17.626667022705078,8.823260307312012,146.2974395751953,33.74908828735352,286.6166381835937,-0.7456853985786438,0.2811510562896728,0.1825832724571228,-0.1362626850605011,30.80481338500977,1050.034423828125,3.6987783908844,0.0,0.0,551,0.0,-266630.836354,361921.665811,0.3565475940704345,0.1424342940251032,0.1731860737005869,0.0,1063.2553253173828,17.894522349039715,881.7239685058594,47.45341330288283,59.41792156159122,0.2141133000453313,32,-1.0345412385040231,-2.632517394528889,0.3405332863330841,0.1980989923079809,0.92520638496553,10-1987,16.007299423217773,FA-10-507,POINT (-123.17823118117404 41.233839221627456)
42,FA-10-535,10,1987,516.5399780273438,370.5232849121094,1180.780029296875,113.60079193115234,17.626667022705078,8.823260307312012,218.10760498046875,16.143447875976562,235.0661773681641,-0.7404772639274597,-0.5086057186126709,-0.2500190436840057,-0.4276117980480194,29.00263977050781,1063.448974609375,3.975677251815796,0.0,0.0,551,0.0,-266360.836354,361651.665811,0.3489840196238624,0.1309963911771774,0.115068644285202,0.0,1063.2553253173828,17.894522349039715,881.7239685058594,47.45341330288283,59.41792156159122,0.2179876284466849,32,-1.0345412385040231,-2.632517394528889,0.2549930587410927,0.1239966675639152,0.5688243339655495,10-1987,39.82699966430664,FA-10-535,POINT (-123.17490746069997 41.23148887663362)
43,FA-10-537,10,1987,485.38330078125,390.9833068847656,1180.780029296875,113.60079193115234,17.626667022705078,8.823260307312012,214.52838134765625,114.82305908203124,216.2268829345703,-0.5640459656715393,-0.3201383054256439,-0.1656230092048645,-0.2700536847114563,19.75826072692871,1302.529541015625,3.6663663387298575,0.0,0.0,551,0.0,-265820.836354,361651.665811,0.3300151824951172,0.0969468901554743,0.2221868733565012,0.2973072528839111,1063.2553253173828,17.894522349039715,881.7239685058594,47.45341330288283,59.41792156159122,0.2330682923396428,32,-1.0345412385040231,-2.632517394528889,0.3661405816674233,0.2691936915119489,1.1549992013485115,10-1987,88.20269775390625,FA-10-537,POINT (-123.1684756875924 41.23165164630749)
44,FA-10-562,10,1987,520.9033203125,385.8866882324219,1162.00732421875,112.0265121459961,17.471317291259766,8.757030487060547,141.42019653320312,-35.40171432495117,221.55650329589844,-0.4459382891654968,0.2487103790044784,0.1313853710889816,-0.0420330353081226,28.123403549194336,1027.44091796875,3.9676144123077393,0.0,0.0,551,0.0,-266360.836354,361381.665811,0.3646571437517801,0.1082027728358904,0.1139287377397219,0.0,1041.5198923746746,17.720561186472576,870.3251647949219,47.369154137207495,58.77465625466446,0.2564543709158897,32,-1.0755260476828274,-2.603688661159956,0.2331342473626136,0.1249314745267232,0.4871489383493388,10-1987,10.91800022125244,FA-10-562,POINT (-123.17479973209173 41.22905702660171)
45,FA-10-564,10,1987,551.1599731445312,360.07000732421875,1164.3123779296875,112.21981811523438,17.490392684936523,8.765162467956543,205.43934631347656,53.82290649414063,249.79763793945312,-0.8249911665916443,-0.3316995501518249,-0.1602528095245361,-0.3793064057826996,27.35934257507324,1231.3157958984375,3.839005470275879,0.0,0.0,551,0.0,-265820.836354,361381.665811,0.349724100695716,0.0838174199064572,0.1289572045207023,0.0668408200144767,1044.1887461344402,17.741921583811443,871.7248229980469,47.37960630446944,58.85432089200568,0.2659066807892588,32,-1.070431531727282,-2.6072716909164235,0.2325231730937957,0.1487057531873385,0.5592403799180719,10-1987,50.709999084472656,FA-10-564,POINT (-123.16836817689693 41.22921979031318)
46,FA-10-565,10,1987,540.2899780273438,364.6033020019531,1165.463134765625,112.31632232666016,17.499916076660156,8.7692232131958,166.60003662109375,94.8294448852539,255.4314117431641,-0.6611003875732422,0.2746687531471252,0.0704753696918487,-0.1491518318653106,23.20123672485352,1344.9832763671875,3.4240615367889404,0.0,0.0,552,0.0,-265550.836354,361381.665811,0.3917853567335341,0.1037454754114151,0.2504003991683324,0.470532476902008,1045.5211435953777,17.752585728963215,872.4235534667969,47.38480880580236,58.89402026036227,0.288039881322119,32,-1.0678945738751018,-2.6090560590699674,0.3082882463932037,0.2045427709817886,0.7101196196961546,10-1987,72.05799865722656,FA-10-565,POINT (-123.16515238835635 41.229301048452065)
47,FA-10-583,10,1987,593.8267211914064,341.8966979980469,993.280029296875,98.1501693725586,20.239999771118164,9.307406425476074,136.7693328857422,-75.28926086425781,73.70011901855469,0.6682751178741455,0.216053768992424,0.1027020737528801,0.2420082539319992,21.840133666992188,789.7904052734375,3.530334949493408,0.0,0.0,551,0.0,-267980.836354,361111.665811,0.327008048693339,0.0693979946275552,0.1024727374315261,0.513792872428894,904.4820149739584,20.649863958358765,752.9240417480469,35.228636975732634,43.80087039788159,0.2576100540657838,32,-0.9047158541913154,-2.448859630964919,0.196332536637783,0.1269345420102278,0.4927390837696637,10-1987,3.699700117111206,FA-10-583,POINT (-123.19398584707741 41.22613493044563)
1621,FA-2-390,2,1987,449.989990234375,423.3966979980469,1851.8900146484373,182.4214630126953,18.9516658782959,8.549456596374512,222.0674591064453,62.31044006347656,218.13949584960932,-0.5171118378639221,-0.6384286284446716,-0.2018754184246063,-0.2613707482814789,18.517229080200195,1258.7578125,3.182981014251709,0.6637094616889954,0.2992534935474396,550,1.0,-294440.836354,422131.665811,0.4341982867982653,0.2223204722007116,0.2514571299155553,0.0,1574.0353393554688,18.959294478098556,1376.4850463867188,69.58944681360694,83.02183085840916,0.2118778145975537,32,-1.523146841957034,-2.60608022987204,0.3340460024774074,0.1117255302766958,0.5273111320735032,2-1987,322.8500061035156,FA-2-390,POINT (-123.53619154155672 41.767404197058006)
