pixelID,x,y
FA-10-153,-267440.836354,365431.665811
FA-10-176,-268520.836354,365161.665811
FA-10-179,-267710.836354,365161.665811
FA-10-203,-268520.836354,364891.665811
FA-10-204,-268250.836354,364891.665811
FA-10-207,-267440.836354,364891.665811
FA-10-232,-267980.836354,364621.665811
FA-10-258,-268250.836354,364351.665811
FA-10-259,-267980.836354,364351.665811
FA-10-286,-267980.836354,364081.665811
FA-10-312,-268250.836354,363811.665811
FA-10-413,-270140.836354,362731.665811
FA-10-414,-269870.836354,362731.665811
FA-10-416,-269330.836354,362731.665811
FA-10-418,-268790.836354,362731.665811
FA-10-423,-267440.836354,362731.665811
FA-10-445,-268790.836354,362461.665811
FA-10-449,-267710.836354,362461.665811
FA-10-473,-268520.836354,362191.665811
FA-10-475,-267980.836354,362191.665811
FA-10-476,-267710.836354,362191.665811
FA-10-496,-269600.836354,361921.665811
FA-10-502,-267980.836354,361921.665811
FA-10-535,-266360.836354,361651.665811
FA-10-562,-266360.836354,361381.665811
FA-10-565,-265550.836354,361381.665811
FA-10-583,-267980.836354,361111.665811
FA-10-592,-265550.836354,361111.665811
FA-10-605,-269330.836354,360841.665811
FA-10-619,-265550.836354,360841.665811
FA-11-1104,-287960.836354,349771.665811
FA-11-1106,-287420.836354,349771.665811
FA-11-1125,-282290.836354,349771.665811
FA-11-1216,-288500.836354,349231.665811
FA-11-1219,-287690.836354,349231.665811
FA-11-1279,-286880.836354,348961.665811
FA-11-1324,-290120.836354,348691.665811
FA-11-1326,-289580.836354,348691.665811
FA-11-1378,-290930.836354,348421.665811
FA-11-1438,-290120.836354,348151.665811
FA-11-213,-282290.836354,354091.665811
FA-11-215,-281750.836354,354091.665811
FA-11-304,-288500.836354,353551.665811
FA-11-367,-286880.836354,353281.665811
FA-11-424,-286880.836354,353011.665811
FA-11-534,-287960.836354,352471.665811
FA-11-547,-284450.836354,352471.665811
FA-11-548,-284180.836354,352471.665811
FA-11-654,-286340.836354,351931.665811
FA-11-655,-286070.836354,351931.665811
FA-11-709,-286880.836354,351661.665811
FA-11-712,-286070.836354,351661.665811
FA-11-714,-285530.836354,351661.665811
FA-11-760,-288500.836354,351391.665811
FA-11-829,-285260.836354,351121.665811
FA-11-878,-287420.836354,350851.665811
FA-11-886,-285260.836354,350851.665811
FA-11-894,-283100.836354,350851.665811
FA-11-895,-282830.836354,350851.665811
FA-11-952,-282830.836354,350581.665811
FA-12-164,-255560.836354,327361.665811
FA-12-193,-255830.836354,327091.665811
FA-12-223,-255830.836354,326821.665811
FA-12-224,-255560.836354,326821.665811
FA-12-314,-255560.836354,326011.665811
FA-12-315,-255290.836354,326011.665811
FA-12-458,-257180.836354,324661.665811
FA-12-459,-256910.836354,324661.665811
FA-12-517,-257450.836354,324121.665811
FA-12-607,-257450.836354,323311.665811
FA-12-608,-257180.836354,323311.665811
FA-12-697,-257450.836354,322501.665811
FA-12-739,-254210.836354,322231.665811
FA-12-768,-254480.836354,321961.665811
FA-12-797,-254750.836354,321691.665811
FA-12-798,-254480.836354,321691.665811
FA-12-799,-254210.836354,321691.665811
FA-12-804,-252860.836354,321691.665811
FA-12-827,-254750.836354,321421.665811
FA-12-828,-254480.836354,321421.665811
FA-12-856,-255020.836354,321151.665811
FA-12-894,-252860.836354,320881.665811
FA-12-920,-253940.836354,320611.665811
FA-12-921,-253670.836354,320611.665811
FA-12-922,-253400.836354,320611.665811
FA-13-181,-258260.836354,293881.665811
FA-13-215,-259880.83635400003,293611.665811
FA-13-217,-259340.83635400003,293611.665811
FA-13-218,-259070.83635400003,293611.665811
FA-13-253,-260420.83635400003,293341.665811
FA-13-257,-259340.83635400003,293341.665811
FA-13-258,-259070.83635400003,293341.665811
FA-13-265,-257180.836354,293341.665811
FA-13-266,-256910.836354,293341.665811
FA-13-293,-260420.83635400003,293071.665811
FA-13-295,-259880.83635400003,293071.665811
FA-13-331,-260960.83635400003,292801.665811
FA-13-332,-260690.83635400003,292801.665811
FA-13-338,-259070.83635400003,292801.665811
FA-13-348,-256370.836354,292801.665811
FA-13-375,-259880.83635400003,292531.665811
FA-13-378,-259070.83635400003,292531.665811
FA-13-379,-258800.83635400003,292531.665811
FA-13-387,-256640.836354,292531.665811
FA-13-412,-260690.83635400003,292261.665811
FA-13-414,-260150.83635400003,292261.665811
FA-13-415,-259880.83635400003,292261.665811
FA-13-451,-260960.83635400003,291991.665811
FA-13-452,-260690.83635400003,291991.665811
FA-13-454,-260150.83635400003,291991.665811
FA-13-504,-257450.836354,291721.665811
FA-13-543,-257720.836354,291451.665811
FA-13-581,-258260.836354,291181.665811
FA-13-621,-258260.836354,290911.665811
FA-13-650,-261230.83635400003,290641.665811
FA-14-1003,-165380.836354,311701.665811
FA-14-1004,-165110.836354,311701.665811
FA-14-1059,-165110.836354,311431.665811
FA-14-1221,-165920.836354,310621.665811
FA-14-1245,-159440.836354,310621.665811
FA-14-1299,-159710.836354,310351.665811
FA-14-1312,-156200.836354,310351.665811
FA-14-1315,-155390.836354,310351.665811
FA-14-1353,-159980.836354,310081.665811
FA-14-1355,-159440.836354,310081.665811
FA-14-1361,-157820.836354,310081.665811
FA-14-1408,-159980.836354,309811.665811
FA-14-1459,-161060.836354,309541.665811
FA-14-1465,-159440.836354,309541.665811
FA-14-1521,-159170.836354,309271.665811
FA-14-1522,-158900.836354,309271.665811
FA-14-1570,-160790.836354,309001.665811
FA-14-1577,-158900.836354,309001.665811
FA-14-1628,-159980.836354,308731.665811
FA-14-1636,-157820.836354,308731.665811
FA-14-1738,-159980.836354,308191.665811
FA-14-1739,-159710.836354,308191.665811
FA-14-1777,-164300.836354,307921.665811
FA-14-2123,-159980.836354,306301.665811
FA-14-811,-157820.836354,312781.665811
FA-14-835,-166190.836354,312511.665811
FA-14-914,-159710.836354,312241.665811
FA-14-918,-158630.836354,312241.665811
FA-14-975,-158090.836354,311971.665811
FA-14-977,-157550.836354,311971.665811
FA-15-1016,-153500.836354,318991.665811
FA-15-1070,-155390.836354,318721.665811
FA-15-1127,-156470.836354,318451.665811
FA-15-1294,-160790.836354,317641.665811
FA-15-1295,-160520.836354,317641.665811
FA-15-1335,-149720.836354,317641.665811
FA-15-1398,-149180.836354,317371.665811
FA-15-1409,-162680.836354,317101.665811
FA-15-1423,-158900.836354,317101.665811
FA-15-1544,-159170.836354,316561.665811
FA-15-1548,-158090.836354,316561.665811
FA-15-1677,-156200.836354,316021.665811
FA-15-1691,-152420.836354,316021.665811
FA-15-1856,-157280.836354,315211.665811
FA-15-1875,-152150.836354,315211.665811
FA-15-1991,-153770.836354,314671.665811
FA-15-2000,-151340.836354,314671.665811
FA-15-2056,-152690.836354,314401.665811
FA-15-2234,-154040.836354,313591.665811
FA-15-2283,-157280.836354,313321.665811
FA-15-2304,-151610.836354,313321.665811
FA-15-2307,-150800.836354,313321.665811
FA-15-2346,-156740.836354,313051.665811
FA-15-2348,-156200.836354,313051.665811
FA-15-586,-154310.836354,320881.665811
FA-15-713,-152960.836354,320341.665811
FA-15-751,-159170.836354,320071.665811
FA-15-840,-151610.836354,319801.665811
FA-15-947,-155660.836354,319261.665811
FA-15-996,-158900.836354,318991.665811
FA-16-114,-135950.836354,318181.665811
FA-16-140,-135950.836354,317911.665811
FA-16-192,-135950.836354,317371.665811
FA-16-244,-135950.836354,316831.665811
FA-16-271,-135680.836354,316561.665811
FA-16-272,-135410.836354,316561.665811
FA-16-57,-137300.836354,318721.665811
FA-16-58,-137030.836354,318721.665811
FA-16-84,-137030.836354,318451.665811
FA-17-208,-110300.836354,354901.665811
FA-17-209,-110030.836354,354901.665811
FA-17-210,-109760.836354,354901.665811
FA-17-211,-109490.836354,354901.665811
FA-17-240,-110300.836354,354631.665811
FA-17-241,-110030.836354,354631.665811
FA-17-245,-108950.836354,354631.665811
FA-17-268,-111380.836354,354361.665811
FA-17-271,-110570.836354,354361.665811
FA-17-273,-110030.836354,354361.665811
FA-17-309,-108950.836354,354091.665811
FA-17-310,-108680.836354,354091.665811
FA-17-334,-110840.836354,353821.665811
FA-17-342,-108680.836354,353821.665811
FA-17-371,-109490.836354,353551.665811
FA-17-375,-108410.836354,353551.665811
FA-17-376,-108140.836354,353551.665811
FA-17-404,-109220.836354,353281.665811
FA-17-406,-108680.836354,353281.665811
FA-17-428,-111380.836354,353011.665811
FA-17-435,-109490.836354,353011.665811
FA-17-436,-109220.836354,353011.665811
FA-17-438,-108680.836354,353011.665811
FA-17-493,-111110.836354,352471.665811
FA-17-494,-110840.836354,352471.665811
FA-17-497,-110030.836354,352471.665811
FA-18-183,-269330.836354,176431.665811
FA-18-189,-267710.836354,176431.665811
FA-18-219,-269330.836354,176161.665811
FA-18-222,-268520.836354,176161.665811
FA-18-226,-267440.836354,176161.665811
FA-18-234,-265280.836354,176161.665811
FA-18-236,-264740.836354,176161.665811
FA-18-262,-267440.836354,175891.665811
FA-18-271,-265010.836354,175891.665811
FA-18-272,-264740.836354,175891.665811
FA-18-273,-264470.836354,175891.665811
FA-18-274,-264200.836354,175891.665811
FA-18-294,-268520.836354,175621.665811
FA-18-297,-267710.836354,175621.665811
FA-18-308,-264740.836354,175621.665811
FA-18-309,-264470.836354,175621.665811
FA-18-310,-264200.836354,175621.665811
FA-18-311,-263930.836354,175621.665811
FA-18-312,-263660.836354,175621.665811
FA-18-327,-269330.836354,175351.665811
FA-18-328,-269060.836354,175351.665811
FA-18-329,-268790.836354,175351.665811
FA-18-330,-268520.836354,175351.665811
FA-18-332,-267980.836354,175351.665811
FA-18-344,-264740.836354,175351.665811
FA-18-346,-264200.836354,175351.665811
FA-18-347,-263930.836354,175351.665811
FA-18-365,-268790.836354,175081.665811
FA-18-367,-268250.836354,175081.665811
FA-18-453,-264470.836354,174541.665811
FA-19-115,-242600.836354,185071.665811
FA-19-131,-242870.836354,184801.665811
FA-19-132,-242600.836354,184801.665811
FA-19-158,-244760.836354,184261.665811
FA-19-159,-244490.836354,184261.665811
FA-19-165,-242870.836354,184261.665811
FA-19-175,-244760.836354,183991.665811
FA-19-177,-244220.836354,183991.665811
FA-19-178,-243950.836354,183991.665811
FA-19-192,-244760.836354,183721.665811
FA-19-201,-242330.836354,183721.665811
FA-19-212,-243950.836354,183451.665811
FA-19-213,-243680.836354,183451.665811
FA-19-218,-242330.836354,183451.665811
FA-19-226,-244760.836354,183181.665811
FA-19-227,-244490.836354,183181.665811
FA-19-229,-243950.836354,183181.665811
FA-19-230,-243680.836354,183181.665811
FA-19-245,-244220.836354,182911.665811
FA-19-261,-244490.836354,182641.665811
FA-19-262,-244220.836354,182641.665811
FA-19-275,-245300.836354,182371.665811
FA-19-278,-244490.836354,182371.665811
FA-19-281,-243680.836354,182371.665811
FA-19-292,-245300.836354,182101.665811
FA-19-297,-243950.836354,182101.665811
FA-19-314,-243950.836354,181831.665811
FA-19-331,-243950.836354,181561.665811
FA-19-92,-244220.836354,185341.665811
FA-19-94,-243680.836354,185341.665811
FA-2-390,-294440.836354,422131.665811
FA-2-422,-294170.836354,421861.665811
FA-2-550,-293090.836354,420781.665811
FA-20-124,-242330.836354,139711.665811
FA-20-125,-242060.836354,139711.665811
FA-20-149,-242600.836354,139441.665811
FA-20-150,-242330.836354,139441.665811
FA-20-151,-242060.836354,139441.665811
FA-20-171,-243680.836354,139171.665811
FA-20-174,-242870.836354,139171.665811
FA-20-175,-242600.836354,139171.665811
FA-20-176,-242330.836354,139171.665811
FA-20-177,-242060.836354,139171.665811
FA-20-197,-243680.836354,138901.665811
FA-20-198,-243410.836354,138901.665811
FA-20-199,-243140.836354,138901.665811
FA-20-200,-242870.836354,138901.665811
FA-20-201,-242600.836354,138901.665811
FA-20-202,-242330.836354,138901.665811
FA-20-223,-243680.836354,138631.665811
FA-20-224,-243410.836354,138631.665811
FA-20-227,-242600.836354,138631.665811
FA-20-249,-243680.836354,138361.665811
FA-20-305,-242600.836354,137821.665811
FA-20-322,-245030.836354,137551.665811
FA-20-68,-243410.836354,140251.665811
FA-20-90,-244490.836354,139981.665811
FA-20-91,-244220.836354,139981.665811
FA-20-92,-243950.836354,139981.665811
FA-20-93,-243680.836354,139981.665811
FA-20-94,-243410.836354,139981.665811
FA-21-1117,-140000.836354,243391.665811
FA-21-610,-149450.836354,245551.665811
FA-21-611,-149180.836354,245551.665811
FA-21-613,-148640.836354,245551.665811
FA-21-630,-144050.836354,245551.665811
FA-21-669,-149450.836354,245281.665811
FA-21-730,-148910.836354,245011.665811
FA-21-748,-144050.836354,245011.665811
FA-21-749,-143780.836354,245011.665811
FA-22-100,-108140.836354,224221.665811
FA-22-114,-110030.836354,223951.665811
FA-22-117,-109220.836354,223951.665811
FA-22-121,-108140.836354,223951.665811
FA-22-140,-108680.836354,223681.665811
FA-22-157,-109760.836354,223411.665811
FA-22-158,-109490.836354,223411.665811
FA-22-162,-108410.836354,223411.665811
FA-22-163,-108140.836354,223411.665811
FA-22-172,-111380.836354,223141.665811
FA-22-184,-108140.836354,223141.665811
FA-22-193,-111380.836354,222871.665811
FA-22-202,-108950.836354,222871.665811
FA-22-205,-108140.836354,222871.665811
FA-22-239,-110300.836354,222331.665811
FA-22-261,-110030.836354,222061.665811
FA-22-262,-109760.836354,222061.665811
FA-22-265,-108950.836354,222061.665811
FA-22-279,-110840.836354,221791.665811
FA-22-285,-109220.836354,221791.665811
FA-22-286,-108950.836354,221791.665811
FA-22-33,-109220.836354,225031.665811
FA-22-70,-110570.836354,224491.665811
FA-22-71,-110300.836354,224491.665811
FA-22-73,-109760.836354,224491.665811
FA-22-74,-109490.836354,224491.665811
FA-22-92,-110300.836354,224221.665811
FA-22-94,-109760.836354,224221.665811
FA-22-97,-108950.836354,224221.665811
FA-22-98,-108680.836354,224221.665811
FA-23-111,-108140.836354,226921.665811
FA-23-113,-107600.836354,226921.665811
FA-23-115,-107060.836354,226921.665811
FA-23-138,-106520.836354,226651.665811
FA-23-139,-106250.836354,226651.665811
FA-23-140,-105980.836354,226651.665811
FA-23-141,-105710.836354,226651.665811
FA-23-155,-107600.836354,226381.665811
FA-23-160,-106250.836354,226381.665811
FA-23-162,-105710.836354,226381.665811
FA-23-177,-107330.836354,226111.665811
FA-23-186,-104900.836354,226111.665811
FA-23-198,-107330.836354,225841.665811
FA-23-200,-106790.836354,225841.665811
FA-23-219,-107330.836354,225571.665811
FA-23-220,-107060.836354,225571.665811
FA-23-225,-105710.836354,225571.665811
FA-23-243,-106520.836354,225301.665811
FA-23-245,-105980.836354,225301.665811
FA-23-246,-105710.836354,225301.665811
FA-23-269,-105170.836354,225031.665811
FA-23-285,-106520.836354,224761.665811
FA-23-289,-105440.836354,224761.665811
FA-23-309,-105710.836354,224491.665811
FA-23-328,-106250.836354,224221.665811
FA-23-53,-106790.836354,227731.665811
FA-23-67,-108680.836354,227461.665811
FA-23-69,-108140.836354,227461.665811
FA-23-70,-107870.836354,227461.665811
FA-23-73,-107060.836354,227461.665811
FA-24-112,-54140.836354,241501.665811
FA-24-113,-53870.836354,241501.665811
FA-24-116,-53060.836354,241501.665811
FA-24-139,-53870.836354,241231.665811
FA-24-143,-52790.836354,241231.665811
FA-24-163,-54410.836354,240961.665811
FA-24-194,-53060.836354,240691.665811
FA-24-197,-52250.836354,240691.665811
FA-24-216,-54140.836354,240421.665811
FA-24-217,-53870.836354,240421.665811
FA-24-223,-52250.836354,240421.665811
FA-24-240,-54680.836354,240151.665811
FA-24-242,-54140.836354,240151.665811
FA-24-245,-53330.836354,240151.665811
FA-24-264,-55220.836354,239881.665811
FA-24-265,-54950.836354,239881.665811
FA-24-273,-52790.836354,239881.665811
FA-24-280,-50900.836354,239881.665811
FA-24-291,-54950.836354,239611.665811
FA-24-292,-54680.836354,239611.665811
FA-24-306,-50900.836354,239611.665811
FA-24-320,-54140.836354,239341.665811
FA-24-322,-53600.836354,239341.665811
FA-24-329,-51710.836354,239341.665811
FA-24-346,-54140.836354,239071.665811
FA-24-347,-53870.836354,239071.665811
FA-24-348,-53600.836354,239071.665811
FA-24-354,-51980.836354,239071.665811
FA-24-60,-54140.836354,242041.665811
FA-24-88,-53600.836354,241771.665811
FA-25-188,-34970.836354,239071.665811
FA-25-394,-34700.836354,237721.665811
