,pixelID
0,FA-10-153
1,FA-10-176
11,FA-10-413
14,FA-10-418
21,FA-10-496
23,FA-10-535
24,FA-10-562
25,FA-10-565
26,FA-10-583
270,FA-2-390
271,FA-2-422
272,FA-2-550
407,FA-3-147
414,FA-3-488
415,FA-3-489
416,FA-3-521
417,FA-3-553
587,FA-4-348
588,FA-5-126
589,FA-5-147
590,FA-5-186
595,FA-6-145
596,FA-6-146
598,FA-6-183
599,FA-6-184
610,FA-6-921
614,FA-7-118
615,FA-7-143
616,FA-7-218
627,FA-9-101
628,FA-9-123
629,FA-9-124
630,FA-9-126
631,FA-9-146
632,FA-9-148
634,FA-9-172
635,FA-9-174
636,FA-9-191
637,FA-9-194
639,FA-9-223
641,FA-9-271
642,FA-9-285
643,FA-9-293
644,FA-9-295
645,FA-9-315
646,FA-9-316
647,FA-9-317
648,FA-9-326
649,FA-9-339
650,FA-9-361
651,FA-9-362
653,FA-9-386
654,FA-9-403
655,FA-9-428
656,FA-9-78
30,FA-11-1104
31,FA-11-1106
32,FA-11-1125
33,FA-11-1216
34,FA-11-1219
35,FA-11-1279
40,FA-11-213
41,FA-11-215
43,FA-11-367
44,FA-11-424
45,FA-11-534
46,FA-11-547
47,FA-11-548
48,FA-11-654
49,FA-11-655
50,FA-11-709
51,FA-11-712
52,FA-11-714
54,FA-11-829
55,FA-11-878
56,FA-11-886
57,FA-11-894
58,FA-11-895
59,FA-11-952
60,FA-12-164
61,FA-12-193
62,FA-12-223
63,FA-12-224
64,FA-12-314
65,FA-12-315
66,FA-12-458
67,FA-12-459
68,FA-12-517
69,FA-12-607
70,FA-12-608
71,FA-12-697
72,FA-12-739
73,FA-12-768
74,FA-12-797
75,FA-12-798
76,FA-12-799
77,FA-12-804
78,FA-12-827
79,FA-12-828
80,FA-12-856
81,FA-12-894
82,FA-12-920
83,FA-12-921
84,FA-12-922
86,FA-13-215
89,FA-13-253
94,FA-13-293
96,FA-13-331
97,FA-13-332
100,FA-13-375
101,FA-13-378
102,FA-13-379
104,FA-13-412
106,FA-13-415
107,FA-13-451
108,FA-13-452
36,FA-11-1324
37,FA-11-1326
38,FA-11-1378
39,FA-11-1438
42,FA-11-304
53,FA-11-760
140,FA-14-835
620,FA-8-210
621,FA-8-211
622,FA-8-288
623,FA-8-325
624,FA-8-326
625,FA-8-363
626,FA-8-364
181,FA-16-57
182,FA-16-58
183,FA-16-84
302,FA-21-610
303,FA-21-611
305,FA-21-630
306,FA-21-669
307,FA-21-730
308,FA-21-748
309,FA-21-749
319,FA-22-172
321,FA-22-193
332,FA-22-70
366,FA-23-67
215,FA-18-234
219,FA-18-272
222,FA-18-294
224,FA-18-308
234,FA-18-344
241,FA-19-131
242,FA-19-132
243,FA-19-158
244,FA-19-159
245,FA-19-165
246,FA-19-175
247,FA-19-177
248,FA-19-178
249,FA-19-192
250,FA-19-201
251,FA-19-212
253,FA-19-218
254,FA-19-226
255,FA-19-227
256,FA-19-229
257,FA-19-230
258,FA-19-245
259,FA-19-261
260,FA-19-262
261,FA-19-275
262,FA-19-278
263,FA-19-281
264,FA-19-292
265,FA-19-297
266,FA-19-314
267,FA-19-331
268,FA-19-92
269,FA-19-94
273,FA-20-124
274,FA-20-125
275,FA-20-149
276,FA-20-150
277,FA-20-151
278,FA-20-171
279,FA-20-174
280,FA-20-175
281,FA-20-176
282,FA-20-177
283,FA-20-197
284,FA-20-198
285,FA-20-199
286,FA-20-200
287,FA-20-201
288,FA-20-202
291,FA-20-227
294,FA-20-322
295,FA-20-68
296,FA-20-90
297,FA-20-91
298,FA-20-92
299,FA-20-93
300,FA-20-94
310,FA-22-100
311,FA-22-114
312,FA-22-117
313,FA-22-121
314,FA-22-140
315,FA-22-157
316,FA-22-158
317,FA-22-162
318,FA-22-163
320,FA-22-184
322,FA-22-202
323,FA-22-205
324,FA-22-239
325,FA-22-261
326,FA-22-262
327,FA-22-265
328,FA-22-279
329,FA-22-285
330,FA-22-286
331,FA-22-33
333,FA-22-71
334,FA-22-73
335,FA-22-74
336,FA-22-92
337,FA-22-94
338,FA-22-97
339,FA-22-98
340,FA-23-111
341,FA-23-113
342,FA-23-115
343,FA-23-138
344,FA-23-139
345,FA-23-140
346,FA-23-141
347,FA-23-155
348,FA-23-160
349,FA-23-162
350,FA-23-177
351,FA-23-186
352,FA-23-198
353,FA-23-200
354,FA-23-219
355,FA-23-220
356,FA-23-225
357,FA-23-243
358,FA-23-245
359,FA-23-246
360,FA-23-269
361,FA-23-285
362,FA-23-289
363,FA-23-309
364,FA-23-328
365,FA-23-53
367,FA-23-69
368,FA-23-70
369,FA-23-73
370,FA-24-112
372,FA-24-116
373,FA-24-139
375,FA-24-163
377,FA-24-197
378,FA-24-216
380,FA-24-223
381,FA-24-240
382,FA-24-242
383,FA-24-245
388,FA-24-291
389,FA-24-292
390,FA-24-306
391,FA-24-320
392,FA-24-322
393,FA-24-329
394,FA-24-346
395,FA-24-347
396,FA-24-348
397,FA-24-354
398,FA-24-60
399,FA-24-88
400,FA-25-188
402,FA-25-436
403,FA-25-469
405,FA-25-521
420,FA-30-1173
437,FA-30-507
438,FA-30-650
439,FA-30-651
440,FA-30-711
441,FA-30-786
448,FA-31-1114
449,FA-31-1157
450,FA-31-1281
451,FA-31-1321
452,FA-31-1362
455,FA-31-160
459,FA-31-1654
461,FA-31-1813
462,FA-31-1895
464,FA-31-319
465,FA-31-322
468,FA-31-447
472,FA-31-823
473,FA-31-906
476,FA-31-948
454,FA-31-1576
456,FA-31-1618
460,FA-31-1740
463,FA-31-1904
479,FA-32-1048
480,FA-32-1051
482,FA-32-1119
483,FA-32-1131
484,FA-32-1160
486,FA-32-1470
487,FA-32-1471
502,FA-32-425
506,FA-32-802
507,FA-32-839
508,FA-33-223
509,FA-33-352
511,FA-33-397
513,FA-33-408
514,FA-33-409
518,FA-33-451
519,FA-33-452
524,FA-33-490
525,FA-33-495
526,FA-33-498
527,FA-33-500
528,FA-33-501
529,FA-33-521
531,FA-33-532
532,FA-33-539
533,FA-33-545
534,FA-33-546
535,FA-33-547
536,FA-33-578
539,FA-34-1340
541,FA-34-456
542,FA-34-461
545,FA-34-487
548,FA-34-536
550,FA-34-615
551,FA-34-660
554,FA-34-714
557,FA-34-721
558,FA-34-730
559,FA-34-737
560,FA-34-741
561,FA-34-791
562,FA-34-793
563,FA-34-798
564,FA-34-816
565,FA-34-883
566,FA-34-889
568,FA-36-209
571,FA-36-247
579,FA-36-430
580,FA-36-463
581,FA-36-498
582,FA-36-534
583,FA-36-536
584,FA-36-571
585,FA-36-572
657,FA-42-431
658,FA-42-433
659,FA-42-520
660,FA-42-565
661,FA-42-566
662,FA-42-569
663,FA-42-880
664,FA-42-972
665,FA-43-1042
666,FA-43-1072
667,FA-43-1073
668,FA-43-1074
669,FA-43-497
670,FA-43-527
671,FA-43-528
672,FA-43-565
673,FA-43-771
674,FA-43-800
675,FA-43-893
676,FA-43-985
677,FA-44-244
678,FA-44-399
679,FA-44-436
680,FA-44-767
681,FA-44-804
