FIRE_NAME,n_per_fire
A-ROCK,697
ACKERSON,2098
ALBANITA,43
ASSIST P.N.F.,1248
BALCH,11
BARK,688
BARKER,1648
BEAN,53
BEAR,3533
BEARCAT,128
BELL WEST,10
BIG CREEK,63
BISCUIT,9243
BLAKE,318
BLOOMER,1
BLUE,12539
BOHEMOTASH,2903
BOX,8
BRIDGE,10
BUCKS,11565
BURNEY FIRE,233
CABBAGE,17
CANNON,31
CHINA,4717
CHOKE,2582
CLEVELAND,5959
COLD,2005
CONE,345
COOKS,791
COONEY,380
COTTONWOOD,436
COUGAR #2,5
CREEK,8
CRYSTAL,26
DARBY,6232
DAY,453
DEAFY,8558
DEEP,73
DEER,228
DELTA,634
DEVILS GAP,1885
EAGLE,425
EARLY,28
EAST,312
FAY,1
FINLEY,1
FLUME,4278
FORK,21836
FORKS,366
FORT/COPPER,9475
FOUNTAIN,7621
FOUTS,320
FREDS,5782
FRENCH,19
FRIENDLY,436
GAP,1269
GLASGOW,3110
GULCH,2786
GULCH FIRE,233
GUN II,1763
HAMM,862
HAPPY CAMP,757
HASLOE,24
HAVILAH,29
HIGH,1996
HIGHWAY,302
HIGHWAY 70,102
HIRAM,217
HOOKER,3
HORTON 2,410
HOTELLING,4296
HYAMPOM,1794
INDIAN,2661
JACK #1,5551
JACKASS,135
JARREL,5
JESSIE,645
JONES,506
JOURNEY,1321
KELSEY,729
KIBBIE CMPLX WFU,612
KING,1
KING TITUS,6615
LAKE,4615
LARSON,7389
LAYMAN,681
LETTS,119
LIGHTNING #120 (CRANK),89
LIGHTNING #97 (BISON),143
LOMA,2718
LOOKOUT,1705
LOST,12
LUNCH,1040
MANTER,14
MARTIS,81
MCNALLY,18473
MEGRAM,81244
MENDENHALL,2942
MOUNTAIN,9
MUDD,27
MUSSOLINI,1
NIELON,988
NORTH FORK,878
OBELISK,822
ONION,5011
OREGON,319
PALMER,1525
PAPER,204
PEANUT,449
PENDOLA,2692
PIDGEON,2775
PILOT,252
PLUM,322
PLUMAS NF #531 (CLARK),594
POE,1098
PONY,313
POWDERHOUSE,2
POWER,11404
RACK,32
RAINBOW,314
REPTILE,2509
ROCK,253
ROGGE,188
RUBY,1333
SAINT CLAIRE,3656
SAVAGE,2
SHEEP #1,6762
SHEEP #2,969
SIMS,1559
SLATER,305
SPANISH,5543
SPECIMEN,8097
STANZA,1487
STAR,11181
STORMY,1929
STORRIE,23392
STRAUSE,2480
STRAYLOR,3
STREAM,3534
SUGAR,827
SWILLUP II,3641
TEN BALD,5267
THOMPSON,2037
TOWN,138
TRELOAR COMPLEX,1098
TRINITY,187
TROUGH,5024
WAGNER COMPLEX,482
WALKER,166
WALLOW,608
WEST KERN,496
WHIT,37
YELLOW,6371
