pixelID,x,y
tile_0_10_-282435267765,-282435,267765
tile_0_10_-282705268845,-282705,268845
tile_0_10_-282705279915,-282705,279915
tile_0_10_-283515269655,-283515,269655
tile_0_10_-283785268575,-283785,268575
tile_0_10_-284595269385,-284595,269385
tile_0_10_-284595270465,-284595,270465
tile_0_10_-284865262635,-284865,262635
tile_0_10_-285135272625,-285135,272625
tile_0_10_-285675261825,-285675,261825
tile_0_10_-285675263715,-285675,263715
tile_0_10_-285675269115,-285675,269115
tile_0_10_-285675270195,-285675,270195
tile_0_10_-285945271275,-285945,271275
tile_0_10_-285945273435,-285945,273435
tile_0_10_-285945283965,-285945,283965
tile_0_10_-285945292335,-285945,292335
tile_0_10_-286755274785,-286755,274785
tile_0_10_-286755285855,-286755,285855
tile_0_10_-286755300435,-286755,300435
tile_0_10_-287025270465,-287025,270465
tile_0_10_-287025273705,-287025,273705
tile_0_10_-287025278295,-287025,278295
tile_0_10_-287025279915,-287025,279915
tile_0_10_-287025280995,-287025,280995
tile_0_10_-287025297465,-287025,297465
tile_0_10_-287295271815,-287295,271815
tile_0_10_-287565276135,-287565,276135
tile_0_10_-287565285045,-287565,285045
tile_0_10_-287835288285,-287835,288285
tile_0_10_-287835296655,-287835,296655
tile_0_10_-288105271005,-288105,271005
tile_0_10_-288105275055,-288105,275055
tile_0_10_-288105278295,-288105,278295
tile_0_10_-288105279645,-288105,279645
tile_0_10_-288105280995,-288105,280995
tile_0_10_-288105293955,-288105,293955
tile_0_10_-288105299625,-288105,299625
tile_0_10_-288375273435,-288375,273435
tile_0_10_-288375282615,-288375,282615
tile_0_10_-288645277215,-288645,277215
tile_0_10_-288915286125,-288915,286125
tile_0_10_-288915288285,-288915,288285
tile_0_10_-288915298815,-288915,298815
tile_0_10_-289185278295,-289185,278295
tile_0_10_-289185281535,-289185,281535
tile_0_10_-289455276405,-289455,276405
tile_0_10_-289455282615,-289455,282615
tile_0_10_-289725283695,-289725,283695
tile_0_10_-290535281805,-290535,281805
tile_0_10_-291345284775,-291345,284775
tile_0_10_-292425301785,-292425,301785
tile_0_10_-293235287475,-293235,287475
tile_0_10_-293235300975,-293235,300975
tile_0_10_-293505291525,-293505,291525
tile_0_10_-293505299625,-293505,299625
tile_0_10_-295125301245,-295125,301245
tile_0_10_-297825303945,-297825,303945
tile_0_10_-298365302325,-298365,302325
tile_0_10_-298365305025,-298365,305025
tile_0_10_-300525305835,-300525,305835
tile_0_11_-281355341805,-281355,341805
