forestType,elevation,slope,aspect,northness,eastness,adjustedNorthness,adj_fold_northness,hli,tpi,PPThist,PPThistSD,TmaxHist,TmaxHistSD,april_1st_snowpack,AEThist,CWDhist,wilderness,burnSev,mediumReburns,lowReburns,fireYear,BurnSev_of_worstBurn2014_2019,year_of_worstBurn2014_2019,recoveryEnd,x,y,pixelID,RRI_end,ARI_end,preFireConCov,postFireConCov,disturbanceSize,postFireSAP,postFireMaxT,postFirePrecip,minPostFirePrecip,n,recoveryTime,OBJECTID,FIRE_NAME,GIS_ACRES,ALARM_DATE,CONT_DATE,CAUSE,ppt_Yr1_3_mean_annual_anom,min_annual_ppt_Yr1_3_anom,pptYr1_3_annual_mean_t_adjusted,min_annual_ppt_t_adjusted_Yr1_3,recovery_rate,ARI_end_smooth
550.9,977,30.315132,197.92923,-0.9007425,-0.28919828,-0.4519872,-0.4269593,240.1,-7.75,1605.08,161.175,19.301666,8.70351,60.189754,349.5235,645.22,0,3.05,0,0,1987,0,0,2019,-282435,267765,tile_0_10_-282435267765,0.64017904,0.24553981,0.5311477,0.14759907,0.38354865,0.24607994,19.579311,1406.3207,1220.215087890625,20,32,8085,FLUME,12616.72265625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-1.2331893904141455,-2.3878697819722343,71.82687378529306,62.32165615483737,0.01100424695046447,0.3043392278341672
551.6316,1063.1578,32.79378,262.10983,-0.13030203,-0.9325411,-0.03794193,-0.38544798,211.78947,-13.315789,1605.08,161.175,19.301666,8.70351,61.99289,352.42017,632.577,0,3.1052632,0,0,1987,0,0,2019,-282705,268845,tile_0_10_-282705268845,0.9999112,0.216788,0.35922685,0.1424196,0.21680725,0.2952571,19.579311,1406.3207,1220.215087890625,19,32,8085,FLUME,12616.72265625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-1.2331893904141455,-2.3878697819722343,71.82687378529306,62.32165615483737,0.005013324997214,0.26064298477336706
551.9508,1300.2295,12.11947,197.78252,-0.8375452,-0.26255566,-0.17744783,-0.17018545,219.91803,25.163935,1303.5,143.62186,17.564167,8.312685,106.213356,392.40244,588.1028,0,3.4590163,0.6333333,0.36666667,1987,0,0,2019,-282705,279915,tile_0_10_-282705279915,0.16612121,0.05170646,0.3123448,0.0010873786,0.31125742,0.034178995,17.861767,1167.2881,1033.3389892578125,61,32,8081,FRIENDLY,3465.902587890625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-0.9484064612448272,-1.881057735515941,65.35121077326784,57.852002506684386,-7.170355570495678e-4,0.02788711355228457
551.619,1239.6904,21.557241,120.96081,-0.48368835,0.79062074,-0.16446857,0.08905074,167.80952,40.642857,1817.58,186.74632,17.286667,8.319536,69.678116,375.90466,637.21387,0,3.2380953,0,0,1987,0,0,2019,-283515,269655,tile_0_10_-283515269655,0.9540366,0.29487005,0.45812488,0.14904863,0.30907625,0.25091124,17.559813,1613.2885,1382.8380126953125,42,32,8085,FLUME,12616.72265625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-1.0939519450771498,-2.327981549005557,91.87389979608554,78.75015597804558,0.01039574635283646,0.3212664617802127
550.75,899.5,30.848503,206.44179,-0.71896183,-0.4933364,-0.37507403,-0.44327754,233.15,-53.2,1605.08,161.175,19.301666,8.70351,62.66402,350.39838,637.8223,0,3.15,0,0,1987,0,0,2019,-283785,268575,tile_0_10_-283785268575,0.9839824,0.24276836,0.31273106,0.06601082,0.24672024,0.15827186,19.579311,1406.3207,1220.215087890625,20,32,8085,FLUME,12616.72265625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-1.2331893904141455,-2.3878697819722343,71.82687378529306,62.32165615483737,0.00852893336913466,0.3093634504636319
551,1045.1818,26.61517,194.19582,-0.3118256,-0.21457405,-0.13467208,-0.11680116,178.63637,-69.181816,1710.0145,174.2745,18.221666,8.467936,49.401184,372.02908,627.1282,0,3.2727273,0,0,1987,0,0,2019,-284595,269385,tile_0_10_-284595269385,0.9033092,0.2551369,0.4643781,0.18193115,0.28244692,0.3336203,18.50698,1508.7725,1302.9427490234375,11,32,8085,FLUME,12616.72265625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-1.1547415141056203,-2.3358078834055616,81.52451129249614,70.40277500831782,0.00808122665542508,0.2777993571420435
551.93335,1325.9333,20.951937,222.27736,-0.69022524,-0.6249099,-0.24505691,-0.33088082,231,12.4,1808.2007,185.74785,17.349,8.32826,82.40842,393.9671,599.5169,0,3,0,0,1987,0,0,2019,-284595,270465,tile_0_10_-284595270465,1.149789,0.27230638,0.3844705,0.14763887,0.23683162,0.2735965,17.62307,1604.5023,1376.5006103515625,15,32,8085,FLUME,12616.72265625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-1.0966393419896918,-2.3241189044634303,91.0455613011808,78.10787849969175,0.00709521350087962,0.3416285614459981
552,1508.4242,14.859218,203.50708,-0.85874516,-0.37820074,-0.21994476,-0.22810698,227.63637,37.575756,1884.8156,190.01767,16.794773,7.9125648,238.98128,478.97766,434.81686,0,3.1818182,0,0,2000,3.7272727,2015,2019,-284865,262635,tile_0_10_-284865262635,0.16040683,0.10398048,0.68966365,0.041433875,0.6482298,0.21905445,17.597456,1729.0795,1141.0843505859375,33,19,13927,JOURNEY,1010.0504150390624,2000/10/07 00:00:00.000,2000/10/13 00:00:00.000,7,-0.8195874625765058,-3.914010993893686,98.25735606328551,64.84371096514958,0.00598815154264705,0.0834607588616539
551.25,1149,29.58677,257.21045,-0.21930435,-0.9679084,-0.10696825,-0.41310552,219.25,-48,1676.89,171.76927,18.221666,8.450398,52.1183,455.5767,485.2967,0,3.25,0,0,1987,0,0,2019,-285135,272625,tile_0_10_-285135272625,1.2353913,0.28580597,0.30112058,0.069772035,0.23134854,0.31892046,18.50867,1481.4962,1287.7769775390625,8,32,8085,FLUME,12616.72265625,1987/08/30 00:00:00.000,1987/09/10 00:00:00.000,1,-1.137536417311432,-2.265323840876413,80.04336346155613,69.57695920555408,0.00962647385251238,0.3134704739353829
551,1234.5385,15.375227,223.46506,-0.6925265,-0.66137284,-0.18395102,-0.25452355,230.03847,7.1153846,1794.41,181.085,17.521666,8.070315,82.973404,483.77054,499.71664,0,3.5384614,0,0,2000,2.1666667,2015,2019,-285675,261825,tile_0_10_-285675261825,0.22372904,0.11096999,0.6064617,0.11045998,0.49600172,0.27304307,18.369787,1655.5161,1103.5260009765625,26,19,13927,JOURNEY,1010.0504150390624,2000/10/07 00:00:00.000,2000/10/13 00:00:00.000,7,-0.7670094154678744,-3.8152469780679654,90.12168186816756,60.072879504621504,0.01580398304999985,0.14517264079299225
