,pixelID
12,tile_0_10_-282435267765
14,tile_0_10_-282705268845
17,tile_0_10_-282705279915
18,tile_0_10_-282975268845
19,tile_0_10_-282975269115
21,tile_0_10_-282975279915
22,tile_0_10_-283245268845
23,tile_0_10_-283245269115
24,tile_0_10_-283245269385
25,tile_0_10_-283245269655
28,tile_0_10_-283515268575
29,tile_0_10_-283515268845
30,tile_0_10_-283515269115
31,tile_0_10_-283515269655
35,tile_0_10_-283785268575
39,tile_0_10_-284055268305
40,tile_0_10_-284055268575
41,tile_0_10_-284055268845
42,tile_0_10_-284055269115
43,tile_0_10_-284055269655
45,tile_0_10_-284325268575
46,tile_0_10_-284325268845
47,tile_0_10_-284325269115
48,tile_0_10_-284325269385
49,tile_0_10_-284325269655
50,tile_0_10_-284325269925
52,tile_0_10_-284595268305
53,tile_0_10_-284595268575
54,tile_0_10_-284595268845
55,tile_0_10_-284595269115
56,tile_0_10_-284595269385
57,tile_0_10_-284595269655
58,tile_0_10_-284595269925
59,tile_0_10_-284595270195
60,tile_0_10_-284595270465
66,tile_0_10_-284865268575
67,tile_0_10_-284865268845
68,tile_0_10_-284865269385
69,tile_0_10_-284865269925
80,tile_0_10_-285135268845
81,tile_0_10_-285135269115
82,tile_0_10_-285135269655
83,tile_0_10_-285135269925
86,tile_0_10_-285135272625
94,tile_0_10_-285405269115
95,tile_0_10_-285405269385
96,tile_0_10_-285405269655
97,tile_0_10_-285405269925
110,tile_0_10_-285675269115
111,tile_0_10_-285675269385
112,tile_0_10_-285675270195
115,tile_0_10_-285675272085
121,tile_0_10_-285945269655
122,tile_0_10_-285945270465
125,tile_0_10_-285945271275
126,tile_0_10_-285945272355
127,tile_0_10_-285945272895
128,tile_0_10_-285945273165
129,tile_0_10_-285945273435
131,tile_0_10_-285945283965
138,tile_0_10_-285945292335
140,tile_0_10_-286215269655
141,tile_0_10_-286215270735
142,tile_0_10_-286215271005
143,tile_0_10_-286215271545
148,tile_0_10_-286485270735
149,tile_0_10_-286485271005
156,tile_0_10_-286485292875
162,tile_0_10_-286755270735
163,tile_0_10_-286755271005
164,tile_0_10_-286755274785
169,tile_0_10_-286755285855
177,tile_0_10_-286755300435
180,tile_0_10_-287025270465
181,tile_0_10_-287025271005
182,tile_0_10_-287025273705
183,tile_0_10_-287025273975
184,tile_0_10_-287025274245
185,tile_0_10_-287025274785
186,tile_0_10_-287025275325
187,tile_0_10_-287025278295
188,tile_0_10_-287025278565
189,tile_0_10_-287025279915
190,tile_0_10_-287025280995
192,tile_0_10_-287025285855
195,tile_0_10_-287025297465
201,tile_0_10_-287295271005
202,tile_0_10_-287295271815
203,tile_0_10_-287295272085
204,tile_0_10_-287295274245
205,tile_0_10_-287295274515
206,tile_0_10_-287295275055
207,tile_0_10_-287295275595
208,tile_0_10_-287295279375
209,tile_0_10_-287295279645
217,tile_0_10_-287565271275
218,tile_0_10_-287565271545
219,tile_0_10_-287565271815
220,tile_0_10_-287565272355
221,tile_0_10_-287565275325
222,tile_0_10_-287565276135
223,tile_0_10_-287565276405
224,tile_0_10_-287565279105
225,tile_0_10_-287565279645
226,tile_0_10_-287565279915
228,tile_0_10_-287565285045
232,tile_0_10_-287565296655
237,tile_0_10_-287835271005
238,tile_0_10_-287835271545
239,tile_0_10_-287835271815
240,tile_0_10_-287835272085
241,tile_0_10_-287835272355
242,tile_0_10_-287835273705
243,tile_0_10_-287835278295
244,tile_0_10_-287835279375
245,tile_0_10_-287835279915
246,tile_0_10_-287835280725
249,tile_0_10_-287835288285
251,tile_0_10_-287835296655
252,tile_0_10_-287835296925
259,tile_0_10_-288105271005
260,tile_0_10_-288105272085
261,tile_0_10_-288105272355
262,tile_0_10_-288105275055
