pixelID,geometry
tile_0_11_-281355341805,"c(-281355, 341805)"
tile_0_11_-281355343965,"c(-281355, 343965)"
tile_0_11_-281355347205,"c(-281355, 347205)"
tile_0_11_-281355350175,"c(-281355, 350175)"
tile_0_11_-281355352335,"c(-281355, 352335)"
tile_0_11_-281625353955,"c(-281625, 353955)"
tile_0_11_-282165345315,"c(-282165, 345315)"
tile_0_11_-282165348555,"c(-282165, 348555)"
tile_0_11_-282705338565,"c(-282705, 338565)"
tile_0_11_-282705350985,"c(-282705, 350985)"
tile_0_11_-282975336945,"c(-282975, 336945)"
tile_0_11_-282975340185,"c(-282975, 340185)"
tile_0_11_-282975342885,"c(-282975, 342885)"
tile_0_11_-282975346665,"c(-282975, 346665)"
tile_0_11_-282975352605,"c(-282975, 352605)"
tile_0_11_-283245355575,"c(-283245, 355575)"
tile_0_11_-283515349635,"c(-283515, 349635)"
tile_0_11_-283785341535,"c(-283785, 341535)"
tile_0_11_-283785344505,"c(-283785, 344505)"
tile_0_11_-284055348015,"c(-284055, 348015)"
tile_0_11_-284325335055,"c(-284325, 335055)"
tile_0_11_-284325351525,"c(-284325, 351525)"
tile_0_11_-284595338025,"c(-284595, 338025)"
tile_0_11_-284595339915,"c(-284595, 339915)"
tile_0_11_-284595345855,"c(-284595, 345855)"
tile_0_11_-285135349095,"c(-285135, 349095)"
tile_0_11_-285405336405,"c(-285405, 336405)"
tile_0_11_-285405341535,"c(-285405, 341535)"
tile_0_11_-285405343155,"c(-285405, 343155)"
tile_0_11_-285405353685,"c(-285405, 353685)"
tile_0_11_-285675334245,"c(-285675, 334245)"
tile_0_11_-285945344775,"c(-285945, 344775)"
tile_0_11_-285945346665,"c(-285945, 346665)"
tile_0_11_-285945350445,"c(-285945, 350445)"
tile_0_11_-285945352065,"c(-285945, 352065)"
tile_0_11_-286215340185,"c(-286215, 340185)"
tile_0_11_-286755338025,"c(-286755, 338025)"
tile_0_11_-286755342345,"c(-286755, 342345)"
tile_0_11_-286755348015,"c(-286755, 348015)"
tile_0_11_-287025353145,"c(-287025, 353145)"
tile_0_11_-287295335055,"c(-287295, 335055)"
tile_0_11_-287295343965,"c(-287295, 343965)"
tile_0_11_-287295345585,"c(-287295, 345585)"
tile_0_11_-287295349635,"c(-287295, 349635)"
tile_0_11_-287295351255,"c(-287295, 351255)"
tile_0_11_-287565339375,"c(-287565, 339375)"
tile_0_11_-287565340995,"c(-287565, 340995)"
tile_0_11_-287835336945,"c(-287835, 336945)"
tile_0_11_-288105346935,"c(-288105, 346935)"
tile_0_11_-288375342345,"c(-288375, 342345)"
tile_0_11_-288375348555,"c(-288375, 348555)"
tile_0_11_-288375352335,"c(-288375, 352335)"
tile_0_11_-288375353955,"c(-288375, 353955)"
tile_0_11_-288645338295,"c(-288645, 338295)"
tile_0_11_-288645344775,"c(-288645, 344775)"
tile_0_11_-288915340185,"c(-288915, 340185)"
tile_0_11_-289185335865,"c(-289185, 335865)"
tile_0_11_-289455346125,"c(-289455, 346125)"
tile_0_11_-289455350985,"c(-289455, 350985)"
tile_0_11_-289725341535,"c(-289725, 341535)"
tile_0_11_-289995337215,"c(-289995, 337215)"
tile_0_11_-289995339105,"c(-289995, 339105)"
tile_0_11_-289995347745,"c(-289995, 347745)"
tile_0_11_-289995349365,"c(-289995, 349365)"
tile_0_11_-290535335055,"c(-290535, 335055)"
tile_0_11_-290805340455,"c(-290805, 340455)"
tile_0_11_-290805352335,"c(-290805, 352335)"
tile_0_11_-291075350445,"c(-291075, 350445)"
tile_0_11_-291345336405,"c(-291345, 336405)"
tile_0_11_-291345338025,"c(-291345, 338025)"
tile_0_11_-291345353955,"c(-291345, 353955)"
tile_0_11_-291615333435,"c(-291615, 333435)"
tile_0_11_-292155339375,"c(-292155, 339375)"
tile_0_11_-292155341265,"c(-292155, 341265)"
tile_0_11_-292155346935,"c(-292155, 346935)"
tile_0_11_-292695334515,"c(-292695, 334515)"
tile_0_11_-292695337215,"c(-292695, 337215)"
tile_0_11_-292965345315,"c(-292965, 345315)"
tile_0_11_-293235354225,"c(-293235, 354225)"
tile_0_11_-293505338565,"c(-293505, 338565)"
tile_0_11_-293505340455,"c(-293505, 340455)"
tile_0_11_-293775342075,"c(-293775, 342075)"
tile_0_11_-293775346665,"c(-293775, 346665)"
tile_0_11_-293775351525,"c(-293775, 351525)"
tile_0_11_-294315335055,"c(-294315, 335055)"
tile_0_11_-294585345045,"c(-294585, 345045)"
tile_0_11_-295125336405,"c(-295125, 336405)"
tile_0_11_-295125348285,"c(-295125, 348285)"
tile_0_11_-295125353415,"c(-295125, 353415)"
tile_0_11_-295395342075,"c(-295395, 342075)"
tile_0_11_-295395351525,"c(-295395, 351525)"
tile_0_11_-295935345855,"c(-295935, 345855)"
tile_0_11_-296475343155,"c(-296475, 343155)"
tile_0_11_-297555345045,"c(-297555, 345045)"
tile_0_12_-281355378315,"c(-281355, 378315)"
tile_0_12_-281355382095,"c(-281355, 382095)"
tile_0_12_-281355397755,"c(-281355, 397755)"
tile_0_12_-281355403155,"c(-281355, 403155)"
tile_0_12_-281355404775,"c(-281355, 404775)"
tile_0_12_-281625395865,"c(-281625, 395865)"
tile_0_12_-281895400725,"c(-281895, 400725)"
tile_0_12_-294045419355,"c(-294045, 419355)"
tile_0_12_-294045422055,"c(-294045, 422055)"
tile_0_12_-294855425025,"c(-294855, 425025)"
tile_0_12_-295125420705,"c(-295125, 420705)"
tile_0_12_-295665423675,"c(-295665, 423675)"
tile_0_12_-295935417195,"c(-295935, 417195)"
tile_0_12_-296205418815,"c(-296205, 418815)"
tile_0_12_-296745420435,"c(-296745, 420435)"
tile_0_12_-297285424215,"c(-297285, 424215)"
tile_0_12_-303495411525,"c(-303495, 411525)"
tile_0_12_-303765413415,"c(-303765, 413415)"
tile_0_12_-305115412335,"c(-305115, 412335)"
tile_1_11_-234315346935,"c(-234315, 346935)"
tile_1_11_-234855349095,"c(-234855, 349095)"
tile_1_11_-259425335595,"c(-259425, 335595)"
tile_1_11_-260235334245,"c(-260235, 334245)"
tile_1_11_-260235337215,"c(-260235, 337215)"
tile_1_11_-261045335595,"c(-261045, 335595)"
tile_1_11_-261585340455,"c(-261585, 340455)"
tile_1_11_-261855333975,"c(-261855, 333975)"
