domain,mod_name,aic,rsq,topography,fire_history,historical_climate,post_fire_weather
nf,mod31_nf_megram_reduced_1000m.rda,3103.29,0.36,"adj_fold_northness,tpi","burnSev,mediumReburns,postFireSAP","AEThist,CWDhist,TmaxHist",postFirePrecip
nf,mod20_nf_megram_reduced_1000m.rda,3127.16,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod21_nf_megram_reduced_1000m.rda,3127.16,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod19_nf_megram_reduced_1000m.rda,3137.71,0.34,tpi,"burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod30_nf_megram_reduced_1000m.rda,3150,0.33,"elevation,hli","burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
nf,mod26_nf_megram_reduced_1000m.rda,3162.37,0.33,"adj_fold_northness,elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod29_nf_megram_reduced_1000m.rda,3168.94,0.32,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod22_nf_megram_reduced_1000m.rda,3169.09,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod23_nf_megram_reduced_1000m.rda,3169.09,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod27_nf_megram_reduced_1000m.rda,3173.4,0.32,"adj_fold_northness,elevation","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod28_nf_megram_reduced_1000m.rda,3181.06,0.32,elevation,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod1_nf_megram_reduced_1000m.rda,3234.57,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod17_nf_megram_reduced_1000m.rda,3234.57,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod18_nf_megram_reduced_1000m.rda,3234.57,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod25_nf_megram_reduced_1000m.rda,3234.57,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod24_nf_megram_reduced_1000m.rda,3254.44,0.27,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod7_wild_megram_reduced_1000m.rda,702.33,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod6_wild_megram_reduced_1000m.rda,703.72,0.41,elevation,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod13_wild_megram_reduced_1000m.rda,703.98,0.41,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod14_wild_megram_reduced_1000m.rda,703.98,0.41,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod5_wild_megram_reduced_1000m.rda,704.64,0.41,"adj_fold_northness,elevation","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod3_wild_megram_reduced_1000m.rda,705.18,0.41,"adj_fold_northness,elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod8_wild_megram_reduced_1000m.rda,705.28,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
wild,mod11_wild_megram_reduced_1000m.rda,706.99,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod12_wild_megram_reduced_1000m.rda,706.99,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod10_wild_megram_reduced_1000m.rda,708.29,0.4,tpi,"burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod9_wild_megram_reduced_1000m.rda,713.44,0.4,"adj_fold_northness,tpi","burnSev,mediumReburns,postFireSAP","AEThist,CWDhist,TmaxHist",postFirePrecip
wild,mod2_wild_megram_reduced_1000m.rda,718.87,0.38,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod16_wild_megram_reduced_1000m.rda,720.62,0.37,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
