domain,mod_name,aic,rsq,topography,fire_history,historical_climate,post_fire_weather
nf,mod48_nf_megram_reduced_1000m__postFireTXpostFirePrecip_2023-04-04-12-39-33.rda,3123.77,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod50_nf_megram_reduced_1000m__notes_2023-04-04-12-58-42.rda,3124.51,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
nf,mod52_nf_megram_reduced_1000m__notes_2023-04-04-13-28-30.rda,3124.51,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
nf,mod53_nf_megram_reduced_1000m__notes_2023-04-04-13-29-30.rda,3128.7,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
nf,mod42_nf_megram_reduced_1000m_2023-04-04-12-24-26.rda,3135.81,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod20_nf_megram_reduced_1000m.rda,3138.65,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod19_nf_megram_reduced_1000m.rda,3147.72,0.34,tpi,"burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod56_nf_megram_reduced_1000m__notes_2023-04-04-13-30-19.rda,3160.4,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP","CWDhist,PPThist",
nf,mod30_nf_megram_reduced_1000m.rda,3161.31,0.33,"elevation,hli","burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
nf,mod48_nf_megram_reduced_1000m_2023-04-04-12-30-24.rda,3169.76,0.33,tpi,"burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
nf,mod57_nf_megram_reduced_1000m__notes_2023-04-04-13-30-36.rda,3171.3,0.33,"hli,tpi","burnSev,mediumReburns,postFireSAP","AEThist,PPThist",
nf,mod26_nf_megram_reduced_1000m.rda,3175.28,0.33,"adj_fold_northness,elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod59_nf_megram_reduced_1000m__notes_2023-04-04-13-31-06.rda,3179.37,0.32,"hli,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip
nf,mod22_nf_megram_reduced_1000m.rda,3180.24,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod23_nf_megram_reduced_1000m.rda,3180.24,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod29_nf_megram_reduced_1000m.rda,3180.61,0.32,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod27_nf_megram_reduced_1000m.rda,3185.1,0.32,"adj_fold_northness,elevation","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod28_nf_megram_reduced_1000m.rda,3191.2,0.32,elevation,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod58_nf_megram_reduced_1000m__notes_2023-04-04-13-30-53.rda,3194.22,0.32,"hli,tpi","burnSev,mediumReburns,postFireSAP",AEThist,postFirePrecip
