pixelID,geometry
tile_0_11_-281355341805,"c(-281355, 341805)"
tile_0_11_-281355343965,"c(-281355, 343965)"
tile_0_11_-281355347205,"c(-281355, 347205)"
tile_0_11_-281355348285,"c(-281355, 348285)"
tile_0_11_-281355350175,"c(-281355, 350175)"
tile_0_11_-281355352335,"c(-281355, 352335)"
tile_0_11_-281625345315,"c(-281625, 345315)"
tile_0_11_-281625353685,"c(-281625, 353685)"
tile_0_11_-281895340725,"c(-281895, 340725)"
tile_0_11_-281895351255,"c(-281895, 351255)"
tile_0_11_-282165342615,"c(-282165, 342615)"
tile_0_11_-282165349095,"c(-282165, 349095)"
tile_0_11_-282435343695,"c(-282435, 343695)"
tile_0_11_-282435346125,"c(-282435, 346125)"
tile_0_11_-282435348015,"c(-282435, 348015)"
tile_0_11_-282435350175,"c(-282435, 350175)"
tile_0_11_-282705338565,"c(-282705, 338565)"
tile_0_11_-282705344775,"c(-282705, 344775)"
tile_0_11_-282705352605,"c(-282705, 352605)"
tile_0_11_-282975336945,"c(-282975, 336945)"
tile_0_11_-282975340185,"c(-282975, 340185)"
tile_0_11_-283245342615,"c(-283245, 342615)"
tile_0_11_-283245346935,"c(-283245, 346935)"
tile_0_11_-283245349365,"c(-283245, 349365)"
tile_0_11_-283245350985,"c(-283245, 350985)"
tile_0_11_-283245355575,"c(-283245, 355575)"
tile_0_11_-283515341265,"c(-283515, 341265)"
tile_0_11_-283515343965,"c(-283515, 343965)"
tile_0_11_-283515345585,"c(-283515, 345585)"
tile_0_11_-283515348015,"c(-283515, 348015)"
tile_0_11_-283785336135,"c(-283785, 336135)"
tile_0_11_-283785337755,"c(-283785, 337755)"
tile_0_11_-283785339105,"c(-283785, 339105)"
tile_0_11_-283785352065,"c(-283785, 352065)"
tile_0_11_-283785353145,"c(-283785, 353145)"
tile_0_11_-284325335055,"c(-284325, 335055)"
tile_0_11_-284325340455,"c(-284325, 340455)"
tile_0_11_-284325346665,"c(-284325, 346665)"
tile_0_11_-284325349095,"c(-284325, 349095)"
tile_0_11_-284595341535,"c(-284595, 341535)"
tile_0_11_-284595343695,"c(-284595, 343695)"
tile_0_11_-284595345045,"c(-284595, 345045)"
tile_0_11_-284595351255,"c(-284595, 351255)"
tile_0_11_-284865350175,"c(-284865, 350175)"
tile_0_11_-284865352335,"c(-284865, 352335)"
tile_0_11_-285135335865,"c(-285135, 335865)"
tile_0_11_-285135338295,"c(-285135, 338295)"
tile_0_11_-285135348015,"c(-285135, 348015)"
tile_0_11_-285405336945,"c(-285405, 336945)"
tile_0_11_-285405339645,"c(-285405, 339645)"
tile_0_11_-285405340725,"c(-285405, 340725)"
tile_0_11_-285405342615,"c(-285405, 342615)"
tile_0_11_-285405345855,"c(-285405, 345855)"
tile_0_11_-285405349095,"c(-285405, 349095)"
tile_0_11_-285405353685,"c(-285405, 353685)"
tile_0_11_-285675334245,"c(-285675, 334245)"
tile_0_11_-285675343695,"c(-285675, 343695)"
tile_0_11_-285675350985,"c(-285675, 350985)"
tile_0_11_-285945344775,"c(-285945, 344775)"
tile_0_11_-285945346935,"c(-285945, 346935)"
tile_0_11_-285945352065,"c(-285945, 352065)"
tile_0_11_-286215341535,"c(-286215, 341535)"
tile_0_11_-286215349905,"c(-286215, 349905)"
tile_0_11_-286215354495,"c(-286215, 354495)"
tile_0_11_-286485335055,"c(-286485, 335055)"
tile_0_11_-286485336135,"c(-286485, 336135)"
tile_0_11_-286485340185,"c(-286485, 340185)"
tile_0_11_-286485342615,"c(-286485, 342615)"
tile_0_11_-286485348015,"c(-286485, 348015)"
tile_0_11_-286485353145,"c(-286485, 353145)"
tile_0_11_-286755338025,"c(-286755, 338025)"
tile_0_11_-286755343695,"c(-286755, 343695)"
tile_0_11_-286755345585,"c(-286755, 345585)"
tile_0_11_-286755350985,"c(-286755, 350985)"
tile_0_11_-287025346935,"c(-287025, 346935)"
tile_0_11_-287025349095,"c(-287025, 349095)"
tile_0_11_-287295339375,"c(-287295, 339375)"
tile_0_11_-287295341535,"c(-287295, 341535)"
tile_0_11_-287295352335,"c(-287295, 352335)"
tile_0_11_-287295353955,"c(-287295, 353955)"
tile_0_11_-287565335595,"c(-287565, 335595)"
tile_0_11_-287565337215,"c(-287565, 337215)"
tile_0_11_-287565342615,"c(-287565, 342615)"
tile_0_11_-287565348015,"c(-287565, 348015)"
tile_0_11_-287835334515,"c(-287835, 334515)"
tile_0_11_-287835338295,"c(-287835, 338295)"
tile_0_11_-287835343695,"c(-287835, 343695)"
tile_0_11_-287835344775,"c(-287835, 344775)"
tile_0_11_-287835345855,"c(-287835, 345855)"
tile_0_11_-287835349905,"c(-287835, 349905)"
tile_0_11_-287835350985,"c(-287835, 350985)"
tile_0_11_-288105340185,"c(-288105, 340185)"
tile_0_11_-288105346935,"c(-288105, 346935)"
tile_0_11_-288105353145,"c(-288105, 353145)"
tile_0_11_-288375341265,"c(-288375, 341265)"
tile_0_11_-288375348825,"c(-288375, 348825)"
tile_0_11_-288375352065,"c(-288375, 352065)"
tile_0_11_-288645337485,"c(-288645, 337485)"
tile_0_11_-288645342345,"c(-288645, 342345)"
tile_0_11_-288915336405,"c(-288915, 336405)"
tile_0_11_-288915338565,"c(-288915, 338565)"
tile_0_11_-288915343425,"c(-288915, 343425)"
tile_0_11_-288915344505,"c(-288915, 344505)"
tile_0_11_-288915345585,"c(-288915, 345585)"
tile_0_11_-288915347745,"c(-288915, 347745)"
tile_0_11_-288915349905,"c(-288915, 349905)"
tile_0_11_-288915353955,"c(-288915, 353955)"
tile_0_11_-289185339645,"c(-289185, 339645)"
tile_0_11_-289185346665,"c(-289185, 346665)"
tile_0_11_-289185352875,"c(-289185, 352875)"
tile_0_11_-289455341265,"c(-289455, 341265)"
tile_0_11_-289455348825,"c(-289455, 348825)"
tile_0_11_-289455350985,"c(-289455, 350985)"
tile_0_11_-289725337215,"c(-289725, 337215)"
tile_0_11_-289725342615,"c(-289725, 342615)"
tile_0_11_-289995335865,"c(-289995, 335865)"
tile_0_11_-289995338295,"c(-289995, 338295)"
tile_0_11_-289995345585,"c(-289995, 345585)"
tile_0_11_-289995347475,"c(-289995, 347475)"
tile_0_11_-290265339645,"c(-290265, 339645)"
tile_0_11_-290265349635,"c(-290265, 349635)"
