pixelID,geometry
tile_0_10_-282435267765,"c(-282435, 267765)"
tile_0_10_-282705268845,"c(-282705, 268845)"
tile_0_10_-282705279915,"c(-282705, 279915)"
tile_0_10_-283515269655,"c(-283515, 269655)"
tile_0_10_-283785268575,"c(-283785, 268575)"
tile_0_10_-284595269385,"c(-284595, 269385)"
tile_0_10_-284595270465,"c(-284595, 270465)"
tile_0_10_-284865262635,"c(-284865, 262635)"
tile_0_10_-285135272625,"c(-285135, 272625)"
tile_0_10_-285675261825,"c(-285675, 261825)"
tile_0_10_-285675263715,"c(-285675, 263715)"
tile_0_10_-285675269115,"c(-285675, 269115)"
tile_0_10_-285675270195,"c(-285675, 270195)"
tile_0_10_-285945271275,"c(-285945, 271275)"
tile_0_10_-285945273435,"c(-285945, 273435)"
tile_0_10_-285945283965,"c(-285945, 283965)"
tile_0_10_-285945292335,"c(-285945, 292335)"
tile_0_10_-286755274785,"c(-286755, 274785)"
tile_0_10_-286755285855,"c(-286755, 285855)"
tile_0_10_-286755300435,"c(-286755, 300435)"
tile_0_10_-287025270465,"c(-287025, 270465)"
tile_0_10_-287025273705,"c(-287025, 273705)"
tile_0_10_-287025278295,"c(-287025, 278295)"
tile_0_10_-287025279915,"c(-287025, 279915)"
tile_0_10_-287025280995,"c(-287025, 280995)"
tile_0_10_-287025297465,"c(-287025, 297465)"
tile_0_10_-287295271815,"c(-287295, 271815)"
tile_0_10_-287565276135,"c(-287565, 276135)"
tile_0_10_-287565285045,"c(-287565, 285045)"
tile_0_10_-287835288285,"c(-287835, 288285)"
tile_0_10_-287835296655,"c(-287835, 296655)"
tile_0_10_-288105271005,"c(-288105, 271005)"
tile_0_10_-288105275055,"c(-288105, 275055)"
tile_0_10_-288105278295,"c(-288105, 278295)"
tile_0_10_-288105279645,"c(-288105, 279645)"
tile_0_10_-288105280995,"c(-288105, 280995)"
tile_0_10_-288105293955,"c(-288105, 293955)"
tile_0_10_-288105299625,"c(-288105, 299625)"
tile_0_10_-288375273435,"c(-288375, 273435)"
tile_0_10_-288375282615,"c(-288375, 282615)"
tile_0_10_-288645277215,"c(-288645, 277215)"
tile_0_10_-288915286125,"c(-288915, 286125)"
tile_0_10_-288915288285,"c(-288915, 288285)"
tile_0_10_-288915298815,"c(-288915, 298815)"
tile_0_10_-289185278295,"c(-289185, 278295)"
tile_0_10_-289185281535,"c(-289185, 281535)"
tile_0_10_-289455276405,"c(-289455, 276405)"
tile_0_10_-289455282615,"c(-289455, 282615)"
tile_0_10_-289725283695,"c(-289725, 283695)"
tile_0_10_-290535281805,"c(-290535, 281805)"
tile_0_10_-291345284775,"c(-291345, 284775)"
tile_0_10_-292425301785,"c(-292425, 301785)"
tile_0_10_-293235287475,"c(-293235, 287475)"
tile_0_10_-293235300975,"c(-293235, 300975)"
tile_0_10_-293505291525,"c(-293505, 291525)"
tile_0_10_-293505299625,"c(-293505, 299625)"
tile_0_10_-295125301245,"c(-295125, 301245)"
tile_0_10_-297825303945,"c(-297825, 303945)"
tile_0_10_-298365302325,"c(-298365, 302325)"
tile_0_10_-298365305025,"c(-298365, 305025)"
tile_0_10_-300525305835,"c(-300525, 305835)"
tile_0_11_-281355341805,"c(-281355, 341805)"
tile_0_11_-281355343965,"c(-281355, 343965)"
tile_0_11_-281355347205,"c(-281355, 347205)"
tile_0_11_-281355348285,"c(-281355, 348285)"
tile_0_11_-281355350175,"c(-281355, 350175)"
tile_0_11_-281355352335,"c(-281355, 352335)"
tile_0_11_-281625345315,"c(-281625, 345315)"
tile_0_11_-281625353685,"c(-281625, 353685)"
tile_0_11_-281625357195,"c(-281625, 357195)"
tile_0_11_-281895340725,"c(-281895, 340725)"
tile_0_11_-281895351255,"c(-281895, 351255)"
tile_0_11_-282165342615,"c(-282165, 342615)"
tile_0_11_-282165349095,"c(-282165, 349095)"
tile_0_11_-282435343695,"c(-282435, 343695)"
tile_0_11_-282435346125,"c(-282435, 346125)"
tile_0_11_-282435348015,"c(-282435, 348015)"
tile_0_11_-282435350175,"c(-282435, 350175)"
tile_0_11_-282705338565,"c(-282705, 338565)"
tile_0_11_-282705344775,"c(-282705, 344775)"
tile_0_11_-282705352605,"c(-282705, 352605)"
tile_0_11_-282975335055,"c(-282975, 335055)"
tile_0_11_-282975336945,"c(-282975, 336945)"
tile_0_11_-282975340185,"c(-282975, 340185)"
tile_0_11_-283245342615,"c(-283245, 342615)"
tile_0_11_-283245346935,"c(-283245, 346935)"
tile_0_11_-283245349365,"c(-283245, 349365)"
tile_0_11_-283245350985,"c(-283245, 350985)"
tile_0_11_-283515341265,"c(-283515, 341265)"
tile_0_11_-283515343965,"c(-283515, 343965)"
tile_0_11_-283515345585,"c(-283515, 345585)"
tile_0_11_-283515348015,"c(-283515, 348015)"
tile_0_11_-283785322095,"c(-283785, 322095)"
tile_0_11_-283785336135,"c(-283785, 336135)"
tile_0_11_-283785337755,"c(-283785, 337755)"
tile_0_11_-283785339105,"c(-283785, 339105)"
tile_0_11_-283785352065,"c(-283785, 352065)"
tile_0_11_-283785353145,"c(-283785, 353145)"
tile_0_11_-284055333705,"c(-284055, 333705)"
tile_0_11_-284325328035,"c(-284325, 328035)"
tile_0_11_-284325329115,"c(-284325, 329115)"
tile_0_11_-284325340455,"c(-284325, 340455)"
tile_0_11_-284325346665,"c(-284325, 346665)"
tile_0_11_-284325349095,"c(-284325, 349095)"
tile_0_11_-284595335325,"c(-284595, 335325)"
