Model Rank,AIC,R2,Topography,Fire History,Historical Climate,Post-fire Weather,,,,,,,,
1,0.00,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
2,0.74,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT,,,,,,,,
3,0.74,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT,,,,,,,,
4,4.93,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT,,,,,,,,
5,12.04,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
6,14.88,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
7,23.95,0.34,tpi,"burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
8,36.63,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP","CWDhist,PPThist",,,,,,,,,
9,37.54,0.33,"elevation,hli","burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip,,,,,,,,
10,45.99,0.33,tpi,"burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip,,,,,,,,
11,47.53,0.33,"hli,tpi","burnSev,mediumReburns,postFireSAP","AEThist,PPThist",,,,,,,,,
12,51.51,0.33,"adj_fold_northness,elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
13,55.60,0.32,"hli,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip,,,,,,,,
14,56.47,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
15,56.47,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
16,56.84,0.32,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
17,61.33,0.32,"adj_fold_northness,elevation","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
18,67.43,0.32,elevation,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
19,70.45,0.32,"hli,tpi","burnSev,mediumReburns,postFireSAP",AEThist,postFirePrecip,,,,,,,,
20,72.93,0.31,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip",,,,,,,,
21,72.93,0.31,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip",,,,,,,,
22,121.59,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
23,121.59,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
24,121.59,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
25,121.59,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
26,135.33,0.27,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
,,,,,,,,,,,,,,
Model Rank,AIC,R2,Topography,Fire History,Historical Climate,Post-fire Weather,,,,,,,,
1,0.00,0.42,"elevation,hli","burnSev,lowReburns,mediumReburns,postFireSAP",,minPostFirePrecip,,,,,,,,
2,1.63,0.42,"elevation,hli","burnSev,lowReburns,mediumReburns,postFireSAP",,"minPostFirePrecip,postFireMaxT",,,,,,,,
3,3.24,0.42,"elevation,hli","burnSev,mediumReburns,postFireSAP",,minPostFirePrecip,,,,,,,,
4,4.36,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
5,4.36,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
6,4.36,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
7,4.40,0.42,"elevation,hli","burnSev,mediumReburns,postFireSAP",,ppt_Yr1_3_mean_annual_anom,,,,,,,,
8,4.79,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,min_annual_ppt_t_adjusted_Yr1_3,,,,,,,,
9,5.44,0.42,"elevation,hli","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
10,5.67,0.41,elevation,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
11,5.79,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,pptYr1_3_annual_mean_t_adjusted,,,,,,,,
12,5.96,0.41,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
13,5.96,0.41,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
14,6.05,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",,min_annual_ppt_Yr1_3_anom,,,,,,,,
15,6.62,0.41,"adj_fold_northness,elevation","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
16,7.18,0.41,"adj_fold_northness,elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
17,7.75,0.40,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,"elevation,hli","burnSev,lowReburns,mediumReburns,postFireSAP",,"minPostFirePrecip,postFireMaxT"
18,7.75,0.40,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
19,8.22,0.40,"hli,tpi","burnSev,mediumReburns,postFireSAP",,postFireMaxT,,,,,,,,
20,8.85,0.41,"elevation,hli","burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip,,,,,,,,
21,8.98,0.40,tpi,"burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
22,9.57,0.41,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
23,10.15,0.40,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip",,,,,,,,
24,10.37,0.40,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT,,,,,,,,
25,11.20,0.39,tpi,"burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip,,,,,,,,
26,11.35,0.40,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT,,,,,,,,
27,17.07,0.39,"hli,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip,,,,,,,,
28,19.55,0.38,"hli,tpi","burnSev,mediumReburns,postFireSAP",AEThist,postFirePrecip,,,,,,,,
29,20.50,0.38,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
30,21.30,0.38,"hli,tpi","burnSev,mediumReburns,postFireSAP","CWDhist,PPThist",,,,,,,,,
31,22.66,0.37,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip,,,,,,,,
32,28.17,0.36,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip",,,,,,,,
