domain,mod_name,aic,rsq,topography,fire_history,historical_climate,post_fire_weather
nf,mod118_nf_megram_reduced_1000m__notes_2023-05-04-14-40-04.rda,3158.58,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod127_nf_megram_reduced_1000m__notes_2023-05-04-14-40-18.rda,3158.58,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod128_nf_megram_reduced_1000m__notes_2023-05-04-14-40-19.rda,3158.58,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod129_nf_megram_reduced_1000m__notes_2023-05-04-14-40-21.rda,3158.58,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod105_nf_megram_reduced_1000m__notes_2023-05-04-14-39-43.rda,3165.71,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod117_nf_megram_reduced_1000m__notes_2023-05-04-14-40-03.rda,3169.18,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod104_nf_megram_reduced_1000m__notes_2023-05-04-14-39-41.rda,3175.25,0.33,tpi,"burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod114_nf_megram_reduced_1000m__notes_2023-05-04-14-39-58.rda,3191.21,0.34,"elevation,hli","burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
nf,mod123_nf_megram_reduced_1000m__notes_2023-05-04-14-40-12.rda,3195.95,0.33,"hli,tpi","burnSev,mediumReburns,postFireSAP","CWDhist,PPThist",
nf,mod124_nf_megram_reduced_1000m__notes_2023-05-04-14-40-13.rda,3198.83,0.33,"hli,tpi","burnSev,mediumReburns,postFireSAP","AEThist,PPThist",
nf,mod119_nf_megram_reduced_1000m__notes_2023-05-04-14-40-05.rda,3199.58,0.33,tpi,"burnSev,mediumReburns,postFireSAP",TmaxHist,postFirePrecip
nf,mod110_nf_megram_reduced_1000m__notes_2023-05-04-14-39-50.rda,3199.66,0.33,"adj_fold_northness,elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod126_nf_megram_reduced_1000m__notes_2023-05-04-14-40-17.rda,3201.76,0.32,"hli,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip
nf,mod113_nf_megram_reduced_1000m__notes_2023-05-04-14-39-56.rda,3203.84,0.33,"elevation,hli","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod106_nf_megram_reduced_1000m__notes_2023-05-04-14-39-44.rda,3206.25,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod107_nf_megram_reduced_1000m__notes_2023-05-04-14-39-46.rda,3206.25,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod111_nf_megram_reduced_1000m__notes_2023-05-04-14-39-52.rda,3206.97,0.32,"adj_fold_northness,elevation","burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod112_nf_megram_reduced_1000m__notes_2023-05-04-14-39-54.rda,3214.46,0.32,elevation,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod125_nf_megram_reduced_1000m__notes_2023-05-04-14-40-15.rda,3221.66,0.32,"hli,tpi","burnSev,mediumReburns,postFireSAP",AEThist,postFirePrecip
nf,mod115_nf_megram_reduced_1000m__notes_2023-05-04-14-39-59.rda,3234.54,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod116_nf_megram_reduced_1000m__notes_2023-05-04-14-40-00.rda,3234.54,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod101_nf_megram_reduced_1000m__notes_2023-05-04-14-39-36.rda,3266.19,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod102_nf_megram_reduced_1000m__notes_2023-05-04-14-39-37.rda,3266.19,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod103_nf_megram_reduced_1000m__notes_2023-05-04-14-39-38.rda,3266.19,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod109_nf_megram_reduced_1000m__notes_2023-05-04-14-39-48.rda,3266.19,0.29,adj_fold_northness,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
nf,mod108_nf_megram_reduced_1000m__notes_2023-05-04-14-39-47.rda,3284.04,0.27,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
