domain,mod_name,aic,rsq,topography,fire_history,historical_climate,post_fire_weather
nf,mod118_nf_megram_reduced_1000m__notes_2023-05-04-14-40-04.rda,3158.58,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_postFirePrecip"
nf,mod117_nf_megram_reduced_1000m__notes_2023-05-04-14-40-03.rda,3169.18,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod201_nf_megram_reduced_1000m_2023-05-09-15-41-36.rda,3170.7,0.34,"elevation,tpi","burnSev,mediumReburns,postFireSAP",AEThist,postFireMaxT
nf,mod104_nf_megram_reduced_1000m__notes_2023-05-04-14-39-41.rda,3175.25,0.33,tpi,"burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
nf,mod114_nf_megram_reduced_1000m__notes_2023-05-04-14-39-58.rda,3191.21,0.34,"elevation,i_hli","burnSev,i_postFireSAP,mediumReburns",i_TmaxHist,i_postFirePrecip
nf,mod203_nf_megram_reduced_1000m_2023-05-09-15-45-20.rda,3192.21,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip
nf,mod119_nf_megram_reduced_1000m__notes_2023-05-04-14-40-05.rda,3199.58,0.33,tpi,"burnSev,i_postFireSAP,mediumReburns",TmaxHist,i_postFirePrecip
nf,mod110_nf_megram_reduced_1000m__notes_2023-05-04-14-39-50.rda,3199.66,0.33,"adj_fold_northness,elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod126_nf_megram_reduced_1000m__notes_2023-05-04-14-40-17.rda,3201.76,0.32,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",CWDhist,i_postFirePrecip
nf,mod113_nf_megram_reduced_1000m__notes_2023-05-04-14-39-56.rda,3203.84,0.33,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod106_nf_megram_reduced_1000m__notes_2023-05-04-14-39-44.rda,3206.25,0.32,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod107_nf_megram_reduced_1000m__notes_2023-05-04-14-39-46.rda,3206.25,0.32,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod111_nf_megram_reduced_1000m__notes_2023-05-04-14-39-52.rda,3206.97,0.32,"adj_fold_northness,elevation","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod112_nf_megram_reduced_1000m__notes_2023-05-04-14-39-54.rda,3214.46,0.32,elevation,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod125_nf_megram_reduced_1000m__notes_2023-05-04-14-40-15.rda,3221.66,0.32,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",AEThist,i_postFirePrecip
nf,mod115_nf_megram_reduced_1000m__notes_2023-05-04-14-39-59.rda,3234.54,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod116_nf_megram_reduced_1000m__notes_2023-05-04-14-40-00.rda,3234.54,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod101_nf_megram_reduced_1000m__notes_2023-05-04-14-39-36.rda,3266.19,0.29,adj_fold_northness,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod108_nf_megram_reduced_1000m__notes_2023-05-04-14-39-47.rda,3284.04,0.27,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
