domain,mod_name,aic,rsq,model_rank,d_aic,topography,fire_history,historical_climate,post_fire_weather
nf,mod118_nf_megram_reduced_1000m__notes_2023-05-04-14-40-04.rda,3158.58,0.35,1,0,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_postFirePrecip"
nf,mod207_nf_megram_reduced_1000m_2023-05-09-15-56-22.rda,3164.51,0.34,2,5.93,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
nf,mod117_nf_megram_reduced_1000m__notes_2023-05-04-14-40-03.rda,3169.18,0.34,3,10.6,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod104_nf_megram_reduced_1000m__notes_2023-05-04-14-39-41.rda,3175.25,0.33,4,16.67,tpi,"burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
nf,mod114_nf_megram_reduced_1000m__notes_2023-05-04-14-39-58.rda,3191.21,0.34,5,32.63,"elevation,i_hli","burnSev,i_postFireSAP,mediumReburns",i_TmaxHist,i_postFirePrecip
nf,mod203_nf_megram_reduced_1000m_2023-05-09-15-45-20.rda,3192.21,0.32,6,33.63,"elevation,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip
nf,mod119_nf_megram_reduced_1000m__notes_2023-05-04-14-40-05.rda,3199.58,0.33,7,41,tpi,"burnSev,i_postFireSAP,mediumReburns",TmaxHist,i_postFirePrecip
nf,mod110_nf_megram_reduced_1000m__notes_2023-05-04-14-39-50.rda,3199.66,0.33,8,41.08,"adj_fold_northness,elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod126_nf_megram_reduced_1000m__notes_2023-05-04-14-40-17.rda,3201.76,0.32,9,43.18,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",CWDhist,i_postFirePrecip
nf,mod113_nf_megram_reduced_1000m__notes_2023-05-04-14-39-56.rda,3203.84,0.33,10,45.26,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod106_nf_megram_reduced_1000m__notes_2023-05-04-14-39-44.rda,3206.25,0.32,11,47.67,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod107_nf_megram_reduced_1000m__notes_2023-05-04-14-39-46.rda,3206.25,0.32,12,47.67,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod111_nf_megram_reduced_1000m__notes_2023-05-04-14-39-52.rda,3206.97,0.32,13,48.39,"adj_fold_northness,elevation","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod112_nf_megram_reduced_1000m__notes_2023-05-04-14-39-54.rda,3214.46,0.32,14,55.88,elevation,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod125_nf_megram_reduced_1000m__notes_2023-05-04-14-40-15.rda,3221.66,0.32,15,63.08,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",AEThist,i_postFirePrecip
nf,mod115_nf_megram_reduced_1000m__notes_2023-05-04-14-39-59.rda,3234.54,0.3,16,75.96,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod116_nf_megram_reduced_1000m__notes_2023-05-04-14-40-00.rda,3234.54,0.3,17,75.96,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod101_nf_megram_reduced_1000m__notes_2023-05-04-14-39-36.rda,3266.19,0.29,18,107.61,adj_fold_northness,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod108_nf_megram_reduced_1000m__notes_2023-05-04-14-39-47.rda,3284.04,0.27,19,125.46,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
