domain,mod_name,aic,model_rank,d_aic,rsq,topography,fire_history,historical_climate,post_fire_weather
nf,mod_postFirePrecipAnom_nf_megram_reduced_1000m_2023-05-09-17-14-32.rda,3151,1,0,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_ppt_Yr1_3_mean_annual_anom"
nf,mod_minPostFirePrecip212_nf_megram_reduced_1000m_2023-05-09-17-14-32.rda,3152.72,2,1.72,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_minPostFirePrecip,i_postFireMaxT"
nf,mod118_nf_megram_reduced_1000m__notes_2023-05-04-14-40-04.rda,3158.58,3,7.58,0.35,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_postFirePrecip"
nf,mod207_nf_megram_reduced_1000m_2023-05-09-15-56-22.rda,3164.51,4,13.51,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",PPThist,postFireMaxT
nf,mod117_nf_megram_reduced_1000m__notes_2023-05-04-14-40-03.rda,3169.18,5,18.18,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
nf,mod104_nf_megram_reduced_1000m__notes_2023-05-04-14-39-41.rda,3175.25,6,24.25,0.33,tpi,"burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
nf,mod500_nf_megram_reduced_1000m__notes_2023-05-25-10-08-55.rda,3178.21,7,27.21,0.34,"hli,tpi","burnSev,mediumReburns,postFireSAP","i_PPThist,i_TmaxHist",
nf,mod114_nf_megram_reduced_1000m__notes_2023-05-04-14-39-58.rda,3191.21,8,40.21,0.34,"elevation,i_hli","burnSev,i_postFireSAP,mediumReburns",i_TmaxHist,i_postFirePrecip
nf,mod203_nf_megram_reduced_1000m_2023-05-09-15-45-20.rda,3192.21,9,41.21,0.32,"elevation,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,postFirePrecip
nf,mod119_nf_megram_reduced_1000m__notes_2023-05-04-14-40-05.rda,3199.58,10,48.58,0.33,tpi,"burnSev,i_postFireSAP,mediumReburns",TmaxHist,i_postFirePrecip
nf,mod110_nf_megram_reduced_1000m__notes_2023-05-04-14-39-50.rda,3199.66,11,48.66,0.33,"adj_fold_northness,elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod126_nf_megram_reduced_1000m__notes_2023-05-04-14-40-17.rda,3201.76,12,50.76,0.32,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",CWDhist,i_postFirePrecip
nf,mod113_nf_megram_reduced_1000m__notes_2023-05-04-14-39-56.rda,3203.84,13,52.84,0.33,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod106_nf_megram_reduced_1000m__notes_2023-05-04-14-39-44.rda,3206.25,14,55.25,0.32,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod107_nf_megram_reduced_1000m__notes_2023-05-04-14-39-46.rda,3206.25,15,55.25,0.32,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod111_nf_megram_reduced_1000m__notes_2023-05-04-14-39-52.rda,3206.97,16,55.97,0.32,"adj_fold_northness,elevation","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod112_nf_megram_reduced_1000m__notes_2023-05-04-14-39-54.rda,3214.46,17,63.46,0.32,elevation,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod503_nf_megram_reduced_1000m__notes_2023-05-25-10-10-48.rda,3215.07,18,64.07,0.31,"hli,tpi","burnSev,mediumReburns,postFireSAP",CWDhist,
nf,mod125_nf_megram_reduced_1000m__notes_2023-05-04-14-40-15.rda,3221.66,19,70.66,0.32,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",AEThist,i_postFirePrecip
nf,mod115_nf_megram_reduced_1000m__notes_2023-05-04-14-39-59.rda,3234.54,20,83.54,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod116_nf_megram_reduced_1000m__notes_2023-05-04-14-40-00.rda,3234.54,21,83.54,0.3,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
nf,mod501_nf_megram_reduced_1000m__notes_2023-05-25-10-08-55.rda,3262.94,22,111.94,0.29,"hli,tpi","burnSev,mediumReburns,postFireSAP",AEThist,
nf,mod101_nf_megram_reduced_1000m__notes_2023-05-04-14-39-36.rda,3266.19,23,115.19,0.29,adj_fold_northness,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
nf,mod108_nf_megram_reduced_1000m__notes_2023-05-04-14-39-47.rda,3284.04,24,133.04,0.27,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
,,,,,,,,,
,,,,,,,,,
,0.214285714285714,,,,,,,,
