domain,mod_name,aic,model_rank,d_aic,rsq,topography,fire_history,historical_climate,post_fire_weather
wild,mod68_wild_megram_reduced_1000m__notes_2023-04-04-13-53-31.rda,703.17,1,0,0.42,"elevation,hli","burnSev,i_postFireSAP,lowReburns,mediumReburns",,i_minPostFirePrecip
wild,mod63_wild_megram_reduced_1000m__notes_2023-04-04-13-34-02.rda,706.41,2,3.24000000000001,0.42,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_minPostFirePrecip
wild,mod64_wild_megram_reduced_1000m__notes_2023-04-04-13-34-28.rda,707.53,3,4.36000000000001,0.41,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod62_wild_megram_reduced_1000m__notes_2023-04-04-13-33-05.rda,707.57,4,4.40000000000009,0.42,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_ppt_Yr1_3_mean_annual_anom
wild,mod67_wild_megram_reduced_1000m__notes_2023-04-04-13-38-42.rda,708.61,5,5.44000000000005,0.42,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
wild,mod6_wild_megram_reduced_1000m.rda,708.84,6,5.67000000000007,0.41,elevation,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod62_wild_megram_reduced_1000m__notes_2023-04-04-13-33-34.rda,708.96,7,5.79000000000008,0.41,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_pptYr1_3_annual_mean_t_adjusted
wild,mod13_wild_megram_reduced_1000m.rda,709.13,8,5.96000000000004,0.41,"elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod66_wild_megram_reduced_1000m__notes_2023-04-04-13-37-20.rda,709.22,9,6.05000000000007,0.41,"elevation,hli","burnSev,i_postFireSAP,mediumReburns",,i_min_annual_ppt_Yr1_3_anom
wild,mod5_wild_megram_reduced_1000m.rda,709.79,10,6.62,0.41,"adj_fold_northness,elevation","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod3_wild_megram_reduced_1000m.rda,710.35,11,7.18000000000006,0.41,"adj_fold_northness,elevation,tpi","burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod11_wild_megram_reduced_1000m.rda,710.92,12,7.75,0.4,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
wild,mod45_wild_megram_reduced_1000m_2023-04-04-12-26-36.rda,711.39,13,8.22000000000003,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,postFireMaxT
wild,mod8_wild_megram_reduced_1000m.rda,712.02,14,8.85000000000002,0.41,"elevation,i_hli","burnSev,i_postFireSAP,mediumReburns",i_TmaxHist,i_postFirePrecip
wild,mod10_wild_megram_reduced_1000m.rda,712.15,15,8.98000000000002,0.4,tpi,"burnSev,i_postFireSAP,mediumReburns",,"i_postFirePrecip,postFireMaxT"
wild,mod50_wild_megram_reduced_1000m__postFireTXpostFirePrecip_2023-04-04-12-48-30.rda,712.74,16,9.57000000000005,0.41,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"i_postFireMaxT,i_postFirePrecip"
wild,mod43_wild_megram_reduced_1000m_2023-04-04-12-25-52.rda,713.32,17,10.1500000000001,0.4,"hli,tpi","burnSev,mediumReburns,postFireSAP",,"postFireMaxT,postFirePrecip"
wild,mod51_wild_megram_reduced_1000m__notes_2023-04-04-12-59-45.rda,713.54,18,10.37,0.4,"hli,tpi","burnSev,i_postFireSAP,mediumReburns,postFireSAP",i_PPThist,postFireMaxT
wild,mod47_wild_megram_reduced_1000m_2023-04-04-12-28-54.rda,714.37,19,11.2,0.39,tpi,"burnSev,i_postFireSAP,mediumReburns",TmaxHist,i_postFirePrecip
wild,mod54_wild_megram_reduced_1000m__notes_2023-04-04-13-29-43.rda,714.52,20,11.35,0.4,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",i_PPThist,postFireMaxT
wild,mod60_wild_megram_reduced_1000m__notes_2023-04-04-13-31-21.rda,720.24,21,17.0700000000001,0.39,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",CWDhist,i_postFirePrecip
wild,mod61_wild_megram_reduced_1000m__notes_2023-04-04-13-31-32.rda,722.72,22,19.5500000000001,0.38,"hli,tpi","burnSev,i_postFireSAP,mediumReburns",AEThist,i_postFirePrecip
wild,mod2_wild_megram_reduced_1000m.rda,723.67,23,20.5,0.38,adj_fold_northness,"burnSev,i_postFireSAP,mediumReburns",,i_postFirePrecip
wild,mod16_wild_megram_reduced_1000m.rda,725.83,24,22.6600000000001,0.37,,"burnSev,mediumReburns,postFireSAP",,postFirePrecip
wild,mod44_wild_megram_reduced_1000m_2023-04-04-12-26-22.rda,731.34,25,28.1700000000001,0.36,"hli,tpi","burnSev,mediumReburns",,"postFireMaxT,postFirePrecip"
