pixelID,x,y
tile_0_11_-281355341805,-281355,341805
tile_0_11_-281355343965,-281355,343965
tile_0_11_-281355347205,-281355,347205
tile_0_11_-281355348285,-281355,348285
tile_0_11_-281355350175,-281355,350175
tile_0_11_-281355352335,-281355,352335
tile_0_11_-281625345315,-281625,345315
tile_0_11_-281625353685,-281625,353685
tile_0_11_-281895340725,-281895,340725
tile_0_11_-281895351255,-281895,351255
tile_0_11_-282165342615,-282165,342615
tile_0_11_-282165349095,-282165,349095
tile_0_11_-282435343695,-282435,343695
tile_0_11_-282435346125,-282435,346125
tile_0_11_-282435348015,-282435,348015
tile_0_11_-282435350175,-282435,350175
tile_0_11_-282705338565,-282705,338565
tile_0_11_-282705344775,-282705,344775
tile_0_11_-282705352605,-282705,352605
tile_0_11_-282975336945,-282975,336945
tile_0_11_-282975340185,-282975,340185
tile_0_11_-283245342615,-283245,342615
tile_0_11_-283245346935,-283245,346935
tile_0_11_-283245349365,-283245,349365
tile_0_11_-283245350985,-283245,350985
tile_0_11_-283245355575,-283245,355575
tile_0_11_-283515341265,-283515,341265
tile_0_11_-283515343965,-283515,343965
tile_0_11_-283515345585,-283515,345585
tile_0_11_-283515348015,-283515,348015
tile_0_11_-283785336135,-283785,336135
tile_0_11_-283785337755,-283785,337755
tile_0_11_-283785339105,-283785,339105
tile_0_11_-283785352065,-283785,352065
tile_0_11_-283785353145,-283785,353145
tile_0_11_-284325335055,-284325,335055
tile_0_11_-284325340455,-284325,340455
tile_0_11_-284325346665,-284325,346665
tile_0_11_-284325349095,-284325,349095
tile_0_11_-284595341535,-284595,341535
tile_0_11_-284595343695,-284595,343695
tile_0_11_-284595345045,-284595,345045
tile_0_11_-284595351255,-284595,351255
tile_0_11_-284865350175,-284865,350175
tile_0_11_-284865352335,-284865,352335
tile_0_11_-285135335865,-285135,335865
tile_0_11_-285135338295,-285135,338295
tile_0_11_-285135348015,-285135,348015
tile_0_11_-285405336945,-285405,336945
tile_0_11_-285405339645,-285405,339645
tile_0_11_-285405340725,-285405,340725
tile_0_11_-285405342615,-285405,342615
tile_0_11_-285405345855,-285405,345855
tile_0_11_-285405349095,-285405,349095
tile_0_11_-285405353685,-285405,353685
tile_0_11_-285675334245,-285675,334245
tile_0_11_-285675343695,-285675,343695
tile_0_11_-285675350985,-285675,350985
tile_0_11_-285945344775,-285945,344775
tile_0_11_-285945346935,-285945,346935
tile_0_11_-285945352065,-285945,352065
tile_0_11_-286215341535,-286215,341535
tile_0_11_-286215349905,-286215,349905
tile_0_11_-286215354495,-286215,354495
tile_0_11_-286485335055,-286485,335055
tile_0_11_-286485336135,-286485,336135
tile_0_11_-286485340185,-286485,340185
tile_0_11_-286485342615,-286485,342615
tile_0_11_-286485348015,-286485,348015
tile_0_11_-286485353145,-286485,353145
tile_0_11_-286755338025,-286755,338025
tile_0_11_-286755343695,-286755,343695
tile_0_11_-286755345585,-286755,345585
tile_0_11_-286755350985,-286755,350985
tile_0_11_-287025346935,-287025,346935
tile_0_11_-287025349095,-287025,349095
tile_0_11_-287295339375,-287295,339375
tile_0_11_-287295341535,-287295,341535
tile_0_11_-287295352335,-287295,352335
tile_0_11_-287295353955,-287295,353955
tile_0_11_-287565335595,-287565,335595
tile_0_11_-287565337215,-287565,337215
tile_0_11_-287565342615,-287565,342615
tile_0_11_-287565348015,-287565,348015
tile_0_11_-287835334515,-287835,334515
tile_0_11_-287835338295,-287835,338295
tile_0_11_-287835343695,-287835,343695
tile_0_11_-287835344775,-287835,344775
tile_0_11_-287835345855,-287835,345855
tile_0_11_-287835349905,-287835,349905
tile_0_11_-287835350985,-287835,350985
tile_0_11_-288105340185,-288105,340185
tile_0_11_-288105346935,-288105,346935
tile_0_11_-288105353145,-288105,353145
tile_0_11_-288375341265,-288375,341265
tile_0_11_-288375348825,-288375,348825
tile_0_11_-288375352065,-288375,352065
tile_0_11_-288645337485,-288645,337485
tile_0_11_-288645342345,-288645,342345
tile_0_11_-288915336405,-288915,336405
tile_0_11_-288915338565,-288915,338565
tile_0_11_-288915343425,-288915,343425
tile_0_11_-288915344505,-288915,344505
tile_0_11_-288915345585,-288915,345585
tile_0_11_-288915347745,-288915,347745
tile_0_11_-288915349905,-288915,349905
tile_0_11_-288915353955,-288915,353955
tile_0_11_-289185339645,-289185,339645
tile_0_11_-289185346665,-289185,346665
tile_0_11_-289185352875,-289185,352875
tile_0_11_-289455341265,-289455,341265
tile_0_11_-289455348825,-289455,348825
tile_0_11_-289455350985,-289455,350985
tile_0_11_-289725337215,-289725,337215
tile_0_11_-289725342615,-289725,342615
tile_0_11_-289995335865,-289995,335865
tile_0_11_-289995338295,-289995,338295
tile_0_11_-289995345585,-289995,345585
tile_0_11_-289995347475,-289995,347475
tile_0_11_-290265339645,-290265,339645
tile_0_11_-290265349635,-290265,349635
tile_0_11_-290535340725,-290535,340725
tile_0_11_-290535348555,-290535,348555
tile_0_11_-290535350715,-290535,350715
tile_0_11_-290805335055,-290805,335055
tile_0_11_-290805336675,-290805,336675
tile_0_11_-290805352335,-290805,352335
tile_0_11_-291075337755,-291075,337755
tile_0_11_-291345338835,-291345,338835
tile_0_11_-291345339915,-291345,339915
tile_0_11_-291345349635,-291345,349635
tile_0_11_-291345353955,-291345,353955
tile_0_11_-291615333435,-291615,333435
tile_0_11_-291615335865,-291615,335865
tile_0_11_-291615340995,-291615,340995
tile_0_11_-291615350715,-291615,350715
tile_0_11_-291885336945,-291885,336945
tile_0_11_-291885351795,-291885,351795
tile_0_11_-292155338025,-292155,338025
tile_0_11_-292155346935,-292155,346935
tile_0_11_-292425340185,-292425,340185
