forestType,elevation,slope,aspect,northness,eastness,adjustedNorthness,adj_fold_northness,hli,tpi,PPThist,PPThistSD,TmaxHist,TmaxHistSD,april_1st_snowpack,AEThist,CWDhist,wilderness,burnSev,mediumReburns,lowReburns,fireYear,BurnSev_of_worstBurn2014_2019,year_of_worstBurn2014_2019,recoveryEnd,x,y,pixelID,RRI_end,ARI_end,preFireConCov,postFireConCov,disturbanceSize,postFireSAP,postFireMaxT,postFirePrecip,minPostFirePrecip,n,recoveryTime,OBJECTID,FIRE_NAME,GIS_ACRES,ALARM_DATE,CONT_DATE,CAUSE,ppt_Yr1_3_mean_annual_anom,min_annual_ppt_Yr1_3_anom,pptYr1_3_annual_mean_t_adjusted,min_annual_ppt_t_adjusted_Yr1_3,recovery_rate,ARI_end_smooth
551.9259,1351.8518,23.975588,251.45656,-0.29629353,-0.90942764,-0.12127364,-0.34434277,212.48148,-72.96296,1496.46,138.4674,15.949167,8.117443,457.4146,508.44223,352.8126,1,3.1851852,0,0,1999,0,0,2019,-281355,352335,tile_0_11_-281355352335,0.04280978,0.009979829,0.41773936,0.18461905,0.2331203,0.21117882,16.138357,1158.3073,872.9989624023436,27,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.442110561763997,-4.50258355105719,71.77355786589676,54.0946617057947,3.44706895789502e-4,0.01144603635558547
551.5161,1249.8387,29.701113,331.8634,0.86473095,-0.46216112,0.42432258,0.13577545,105.3871,131.54839,1319.1384,126.464775,18.475027,8.694291,113.42458,447.6316,451.28055,1,3,0,0,1999,0,0,2019,-282165,342615,tile_0_11_-282165342615,0.52715147,0.13353558,0.486191,0.2328756,0.2533154,0.3232152,18.698603,1046.6539,752.82147216796875,31,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.154627642361282,-4.478060612783531,55.97497845159877,40.26084045786569,0.01682138002941175,0.1710286338029468
551.5926,1217.963,20.99976,78.04295,0.19684243,0.94011605,0.06873832,0.28731936,121.74074,-2,1394.7052,129.42058,17.38287,8.449945,272.69763,449.06207,451.83533,1,3.1111112,0,0,1999,0,0,2019,-282435,348015,tile_0_11_-282435348015,0.26688835,0.07554096,0.5350366,0.25199333,0.2830433,0.33786234,17.560032,1086.2812,797.47698974609375,27,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.38311403024156,-4.614630920784827,61.861003442362744,45.41432440135039,0.00560771294427259,0.1054927796923362
551,1040,27.13679,241.76929,0.5117342,0.15138155,0.29701966,0.20099357,122.63636,86.27273,1304.54,125.05049,17.875834,8.525658,40.59779,376.38443,518.9271,1,3.2727273,0,0,1999,3.3181818,2015,2019,-282705,338565,tile_0_11_-282705338565,0.22178145,0.055211216,0.35054925,0.101605,0.24894425,0.15024596,18.035213,1033.4397,745.343017578125,22,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.167926731034801,-4.471769622189205,57.301219564193666,41.3270981373009,0.00661133555056772,0.08291934697240953
551,759.375,24.314924,117.1172,-0.40827072,0.4475039,-0.17218435,0.010840781,185,-115,1304.54,125.05049,17.875834,8.525658,15.906087,341.07376,540.6354,1,3,0,0,1999,2.375,2015,2019,-282975,336945,tile_0_11_-282975336945,0.14778012,0.038111985,0.48485398,0.22695741,0.25789657,0.3786522,18.035213,1033.4397,745.343017578125,8,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.167926731034801,-4.471769622189205,57.301219564193666,41.3270981373009,0.0011714712972135,0.05514782630267396
551,979.6667,35.49489,69.64626,0.33886918,0.9197549,0.18792163,0.5131815,102.333336,17.666666,1320.77,126.13972,18.383333,8.647317,50.673534,425.02725,488.09503,1,3.5,0,0,1999,0,0,2019,-282975,340185,tile_0_11_-282975340185,0.5703617,0.1352312,0.32212773,0.085030474,0.23709726,0.15169121,18.594973,1046.5853,753.3489990234375,6,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.1736587016365663,-4.498353103816645,56.28323848601448,40.513583914504075,0.00603852538045113,0.17897379259603147
552,1543.1666,27.490341,109.96889,0.09169225,0.8819024,0.019166354,0.32624152,153.16667,6.5,1640.28,146.03427,14.525833,7.820273,821.41327,401.33444,389.94666,1,3.4166667,0,0,1987,0,0,2019,-283245,355575,tile_0_11_-283245355575,0.5858812,0.12997311,0.40707657,0.18523446,0.22184211,0.37774011,14.482225,1503.627,1196.2049560546875,12,32,15277,HOTELLING,16646.88671875,1987/08/30 00:00:00.000,1987/10/17 00:00:00.000,1,-0.9357598048731988,-3.040896112572155,103.82568976797418,82.59814745694723,0.00380018626644755,0.13656134293429834
551,1040.5714,29.350948,119.45205,-0.48136246,0.85298294,-0.2514119,0.10708128,203.57143,46.714287,1320.77,126.13972,18.383333,8.647317,57.10433,419.38098,480.2262,1,3,0,0,1999,0,0,2019,-283515,341265,tile_0_11_-283515341265,0.566343,0.14374845,0.45864275,0.20482405,0.2538187,0.31769404,18.594973,1046.5853,753.3489990234375,7,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.1736587016365663,-4.498353103816645,56.28323848601448,40.513583914504075,0.00736204422647058,0.1240145972475156
551.2727,1234.909,28.928892,305.83295,0.54921216,-0.70420355,0.29504034,-0.027431538,121.181816,84.90909,1369.92,128.22496,17.874166,8.561166,154.32892,493.03156,401.3585,1,3,0,0,1999,0,0,2019,-283515,343965,tile_0_11_-283515343965,0.3573,0.07476261,0.4610304,0.25178716,0.20924324,0.32488427,18.063576,1072.3423,784.1290283203125,11,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.3207470682775027,-4.568462892713614,59.364895411628346,43.40940178845609,0.00788634062794117,0.07183118028819724
552,1533.2593,30.587635,193.07013,-0.90085924,-0.19835897,-0.45246902,-0.39597932,234.79013,-28.17284,1465.52,132.83662,15.979167,8.132172,706.33636,522.69,319.18542,1,3.8888888,0,0,1999,0,0,2019,-283785,352065,tile_0_11_-283785352065,0.42851025,0.13295585,0.38313898,0.07286438,0.3102746,0.16485955,16.121334,1126.1066,835.614013671875,81,20,3304,MEGRAM,125072.53125,1999/08/23 00:00:00.000,1999/11/03 00:00:00.000,1,-2.5551192133614955,-4.741960359486149,69.85194897643086,51.832808232363085,0.00238424850751886,0.14349044523382176
