plotID,transect,segment,pft,pctCover
A02,s,1,b,0.17365269461077845
A02,s,1,c,0.3532934131736527
A02,s,1,d,0.017964071856287425
A02,s,1,r,0.32934131736526945
A02,s,1,s,0.12574850299401197
A02,s,2,b,0.2275449101796407
A02,s,2,c,0.2774451097804391
A02,s,2,s,0.2954091816367265
A02,e,1,b,0.45708582834331335
A02,e,1,c,0.04790419161676647
A02,e,1,s,0.49500998003992014
A02,e,2,b,0.1317365269461078
A02,e,2,c,0.37524950099800397
A02,e,2,s,0.2934131736526946
A02,w,1,b,0.4930139720558882
A02,w,1,c,0.06387225548902195
A02,w,1,r,0.03992015968063872
A02,w,1,s,0.4031936127744511
A02,w,2,b,0.36327345309381237
A02,w,2,c,0.11976047904191617
A02,w,2,r,0.31137724550898205
A02,w,2,s,0.005988023952095809
A02,n,1,b,0.14171656686626746
A02,n,1,c,0.18962075848303392
A02,n,1,r,0.10578842315369262
A02,n,1,s,0.562874251497006
A02,n,2,b,0.3013972055888224
A02,n,2,c,0.2634730538922156
A02,n,2,s,0.23552894211576847
A03,s,1,c,0.3812375249500998
A03,s,1,r,0.20159680638722555
A03,s,1,s,0.4171656686626746
A03,s,2,c,0.3093812375249501
A03,s,2,s,0.49101796407185627
A03,e,1,b,0.2215568862275449
A03,e,1,c,0.03592814371257485
A03,e,1,r,0.13572854291417166
A03,e,1,s,0.6067864271457086
A03,e,2,b,0.2754491017964072
A03,e,2,c,0.32934131736526945
A03,e,2,s,0.19560878243512975
A03,w,1,b,0.281437125748503
A03,w,1,c,0.16167664670658682
A03,w,1,r,0.1536926147704591
A03,w,1,s,0.4031936127744511
A03,w,2,c,0.2934131736526946
A03,w,2,s,0.5069860279441117
A03,n,1,b,0.2375249500998004
A03,n,1,c,0.011976047904191617
A03,n,1,r,0.2874251497005988
A03,n,1,s,0.4630738522954092
A03,n,2,c,0.03992015968063872
A03,n,2,r,0.13972055888223553
A03,n,2,s,0.6207584830339321
A04,s,1,b,0.2275449101796407
A04,s,1,c,0.6027944111776448
A04,s,1,s,0.16966067864271456
A04,s,2,b,0.16167664670658682
A04,s,2,c,0.5808383233532934
A04,s,2,s,0.05788423153692615
A04,e,1,b,0.21756487025948104
A04,e,1,c,0.4031936127744511
A04,e,1,r,0.031936127744510975
A04,e,1,s,0.3473053892215569
A04,e,2,b,0.15568862275449102
A04,e,2,c,0.5289421157684631
A04,e,2,s,0.1157684630738523
A04,w,1,b,0.19560878243512975
A04,w,1,c,0.7365269461077845
A04,w,1,r,0.06786427145708583
A04,w,2,b,0.4471057884231537
A04,w,2,c,0.20359281437125748
A04,w,2,r,0.10778443113772455
A04,w,2,s,0.041916167664670656
A04,n,1,b,0.281437125748503
A04,n,1,c,0.5728542914171657
A04,n,1,s,0.14570858283433133
A04,n,2,b,0.10578842315369262
A04,n,2,c,0.6946107784431138
A05,s,1,b,0.15568862275449102
A05,s,1,c,0.812375249500998
A05,s,1,s,0.031936127744510975
A05,s,2,b,0.2874251497005988
A05,s,2,c,0.4471057884231537
A05,s,2,s,0.0658682634730539
A05,e,1,b,0.6766467065868264
