FID,type,zone,comments,
B79,shrub,plantina,,
B76,shrub,plantina,,
B77,shrub,plantina,,
B64,shrub,plantina,,
B67,shrub,plantina,,
B69,shrub,plantina,,
B0,conifer,3,,
B1,conifer,3,moved off the road,
B2,conifer,3,,
B52,shrub,4,moved off the road,
B53,shrub,4,,
B54,shrub,4,,
B4,conifer,5,,
B6,conifer,5,,
B45,mix,6,others in this area if need be,
B44,mix,6,,
B104,shrub,7,,
B21,conifer,trinity lake area,drive up granite peak road,
B18,conifer,trinity lake area,drive up granite peak road,
B43,conifer,8,thick, there is a trail and a fire trail leading to this area from the north
B42,conifer,8,thick, there is a trail and a fire trail leading to this area from the north
B37,conifer,route 89,,
B39,conifer,route 89,need to move this point off road,
B29,conifer,route 89,could move closer to road,
B34,conifer,route 89,could move off road,
B35,mix,route 89,,
B28,mix,route 89,,
B86,shrub,north side of shasta,,
B84,shrub,north side of shasta,,
B87,shrub,north side of shasta,,
