fid,year,pctCover,new
F0,2015,0.6904761904761905,1
F1,2015,0.5833333333333334,1
F2,2015,0.7151898734177216,1
F3,2015,0.6857142857142857,1
F4,2015,0.5795454545454546,1
F5,2015,0.45454545454545453,1
F6,2015,0.6507936507936508,1
F10,2015,0.44329896907216493,1
F12,2015,0.6931818181818182,1
F15,2015,0.7014925373134329,1
F17,2015,0.5625,1
F18,2015,0.5135135135135135,1
F34,2015,0.5242718446601942,1
F36,2015,0.7407407407407407,1
F40,2015,0.6170212765957447,1
F48,2015,0.019230769230769232,1
F47,2015,0,1
F45,2015,0,1
F44,2015,0,1
F43,2015,0,1
F42,2015,0,1
F49,2015,0,1
F58,2015,0,1
F59,2015,0,1
F60,2015,0,1
F64,2015,0,1
F65,2015,0,1
F66,2015,0,1
F68,2015,0,1
F69,2015,0,1
F70,2015,0,1
F75,2015,0,1
F76,2015,0,1
F123,2014,0,1
F124,2014,0,1
F125,2014,0,1
F126,2014,0,1
F127,2014,0,1
F128,2014,0,1
F129,2014,0,1
F130,2014,0,1
F144,2014,0,1
F145,2014,0,1
F136,2017,0,1
F137,2017,0,1
F139,2017,0,1
F140,2017,0,1
F141,2017,0,1
F142,2017,0,1
F143,2017,0,1
F73,2016,0,1
F74,2016,0,1
F110,2021,0,1
F111,2021,0,1
F112,2021,0,1
F113,2021,0,1
F114,2021,0,1
F115,2021,0,1
F120,2021,0,1
F131,2021,0,1
F132,2021,0,1
F133,2021,0,1
F134,2021,0,1
F135,2021,0,1
F138,2021,0,1
F55,2015,0,1
F61,2015,0.025974025974025976,1
F62,2015,0,1
F102,2014,0.7833333333333333,1
F103,2014,0.7913043478260869,1
F105,2014,0.7741935483870968,1
F106,2014,0.7692307692307693,1
F107,2014,0.8064516129032258,1
F108,2014,0.7066666666666667,1
F121,2014,0,1
F122,2014,0,1
F151,2014,0.6086956521739131,1
F152,2014,0.6911764705882353,1
F153,2014,0.6506849315068494,1
F154,2014,0.6893203883495146,1
F85,2017,0.6551724137931034,1
F119,2017,0,1
F23,2017,0.6938775510204082,1
F149,2017,0.43333333333333335,1
F316,2014,0.29375,1
F315,2014,0.22666666666666666,1
F314,2014,0.3865546218487395,1
F313,2014,0.4557823129251701,1
F312,2014,0.1595744680851064,1
F311,2014,0.330188679245283,1
F310,2014,0.379746835443038,1
F309,2017,0.2981366459627329,1
F308,2017,0.3660130718954248,1
F307,2017,0.3917525773195876,1
F306,2017,0.5662650602409639,1
F305,2017,0.05194805194805195,1
F304,2017,0.2446043165467626,1
F303,2017,0.08181818181818182,1
F302,2019,0.27184466019417475,1
F301,2019,0.4396551724137931,1
F300,2021,0.5434782608695652,1
F117,2021,0.0425531914893617,1
F116,2021,0,1
F161,2016,0.6419753086419753,1
F159,2016,0.5384615384615384,1
F155,2016,0.5034965034965035,1
F72,2016,0,1
F71,2016,0.036036036036036036,1
