class,FID,fid_dates_,region
1,0,7-15-2015,1
1,1,7-15-2015,1
1,2,7-15-2015,1
1,3,7-15-2015,1
1,4,7-15-2015,1
1,5,7-15-2015,1
1,6,7-15-2015,1
1,7,7-15-2015,1
1,8,5-29-2016,1
1,10,7-15-2015,1
1,12,7-15-2015,1
1,13,7-15-2015,1
1,14,7-15-2015,1
1,15,7-15-2015,1
1,16,7-15-2015,1
1,17,7-15-2015,1
1,18,7-15-2015,1
1,19,7-09-2017,1
1,20,7-09-2017,1
1,21,7-09-2017,1
1,22,7-09-2017,1
1,23,7-09-2017,1
1,24,7-09-2017,1
1,25,7-09-2017,1
1,26,7-09-2017,1
1,27,7-09-2017,1
1,28,10-26-2020,1
1,29,10-26-2020,1
1,30,10-26-2020,1
1,31,10-26-2020,1
1,32,10-26-2020,1
1,33,10-26-2020,1
1,34,7-15-2015,1
1,35,7-15-2015,1
1,36,7-15-2015,1
1,37,7-15-2015,1
1,38,7-15-2015,1
1,39,7-15-2015,1
1,40,7-15-2015,1
1,41,7-15-2015,1
4,42,7-15-2015,1
4,43,7-15-2015,1
4,44,7-15-2015,1
4,45,7-15-2015,1
5,47,7-15-2015,1
5,48,7-15-2015,1
5,49,7-15-2015,1
2,52,7-15-2015,1
2,53,7-15-2015,1
2,55,7-15-2015,1
2,56,7-15-2015,1
2,57,7-15-2015,1
0,58,7-15-2015,1
1,59,7-15-2015,1
0,60,7-15-2015,1
2,61,7-15-2015,1
2,62,7-15-2015,1
2,63,7-15-2015,1
2,64,7-15-2015,1
2,65,7-15-2015,1
2,66,7-15-2015,1
2,68,7-15-2015,1
2,69,7-15-2015,1
2,70,7-15-2015,1
2,71,5-29-2016,1
2,72,5-29-2016,1
2,73,5-29-2016,1
2,74,5-29-2016,1
0,75,7-15-2015,1
0,76,7-15-2015,1
0,77,7-15-2015,1
1,83,6-5-2021,2
1,84,6-5-2021,2
1,85,8-12-2017,2
1,86,8-12-2017,2
1,87,6-5-2021,2
1,88,6-5-2021,2
1,89,6-5-2021,2
1,90,8-13-2019,2
1,91,6-5-2021,2
1,100,8-13-2019,2
1,101,8-13-2019,2
1,102,5-31-2014,2
1,103,5-31-2014,2
1,104,5-31-2014,2
1,105,5-31-2014,2
1,106,5-31-2014,2
1,107,5-31-2014,2
1,108,5-31-2014,2
1,109,5-31-2014,2
2,110,4-27-2021,2
2,111,4-27-2021,2
2,112,4-27-2021,2
2,113,4-27-2021,2
2,114,4-27-2021,2
2,115,4-27-2021,2
2,116,6-5-2021,2
2,117,6-5-2021,2
2,118,6-5-2021,2
2,119,8-12-2017,2
2,120,6-5-2021,2
2,121,5-31-2014,2
2,122,5-31-2014,2
2,123,5-31-2014,2
2,124,5-31-2014,2
2,125,5-31-2014,2
2,126,5-31-2014,2
2,127,5-31-2014,2
2,128,5-31-2014,2
2,129,5-31-2014,2
2,130,5-31-2014,2
0,131,6-5-2021,2
0,132,6-5-2021,2
0,133,6-5-2021,2
0,134,6-5-2021,2
0,135,6-5-2021,2
0,136,8-12-2017,2
0,137,8-12-2017,2
0,138,6-5-2021,2
0,139,8-12-2017,2
0,140,8-12-2017,2
0,141,8-12-2017,2
0,142,8-12-2017,2
0,143,8-12-2017,2
0,144,5-31-2014,2
0,145,5-31-2014,2
1,146,7-15-2015,2
1,147,7-15-2015,2
