system:index,classification_mean,plotID,.geo
00000000000000000000_0,79.423744,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.29478103,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,1.3233941,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,55.00328,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,15.823578,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,13.233895,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,3.1588633,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,99.7848,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,99.87935,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.3908803,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,99.94518,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,98.636215,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,33.6835,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,1.0611691,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,51.650936,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,8.137906,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,99.93314,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,49.616646,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,99.78873,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,99.29216,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,99.88859,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,99.589966,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,99.48957,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,84.18068,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1.3997337,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,1.0676938,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,90.79903,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.47363096,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.23400071,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.46016404,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.7758152,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.42331827,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.16996913,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,11.356678,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,2.5554836,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,3.4770372,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
