system:index,classification_mean,plotID,.geo
00000000000000000000_0,78.91022,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.16667359,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.42820996,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,58.258274,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,16.25851,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,10.5879965,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,4.1674466,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,99.77299,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,99.889854,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.43255058,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,99.94323,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,98.45362,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,32.33405,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,1.1634647,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,48.53228,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,8.620631,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,99.911446,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,55.393173,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,99.69038,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,98.95219,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,99.82844,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,99.6951,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,99.03561,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,83.72689,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1.6550375,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,1.1709125,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,90.47084,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.50092655,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.2647161,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.41014186,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,1.5094438,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,1.111227,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.75094277,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,6.2987494,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,3.4437242,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,3.6113818,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
