system:index,classification_mean,plotID,.geo
00000000000000000000_0,78.6269,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.16223668,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.30610904,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,57.901623,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,16.28601,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,10.837498,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,4.202169,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,99.790634,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,99.89866,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.40522006,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,99.942055,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,98.35306,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,32.63388,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,1.1988467,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,47.977005,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,8.32385,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,99.92087,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,55.00524,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,99.67763,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,98.98201,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,99.84493,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,99.69681,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,99.061104,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,83.970345,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1.5325017,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.9591921,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,90.52581,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.4855498,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.25051096,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.37517506,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,1.3219928,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.97553146,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.76066345,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,6.3735065,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,3.985221,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,3.9233272,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
