system:index,classification_mean,plotID,.geo
00000000000000000000_0,87.20607,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.04635211,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.06278495,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,69.9918,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,20.634632,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,15.7157135,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.802651,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,99.62409,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,99.8017,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.040467314,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,99.91524,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,98.471245,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,48.148,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,3.5882905,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,47.548813,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,12.984488,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,99.85811,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,74.57214,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,99.393654,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,95.56955,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,99.701256,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,98.59062,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,94.730804,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,72.30719,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,0.1263586,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.060991295,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,88.13729,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.03939534,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.043905463,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.039972283,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.19097929,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.08678272,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.05385658,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,0.6081823,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,1.2425448,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,1.0584652,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
