system:index,classification_mean,plotID,.geo
00000000000000000000_0,78.23046,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.27484873,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,1.0874821,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,53.78412,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,16.494493,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,12.903482,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,4.149219,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,99.70879,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,99.83457,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.42099306,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,99.941025,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,98.47956,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,33.392403,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.858834,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,51.415466,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,7.85196,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,99.92565,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,49.842903,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,99.779854,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,99.24962,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,99.83529,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,99.56375,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,99.435356,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,83.74105,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,1.8009236,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,1.0201285,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,90.04445,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.36355665,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.274294,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.39942586,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,1.0290333,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.6743528,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.52947474,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,9.940191,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,2.2603152,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,3.4468133,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
