system:index,pctConCov2021_mean,plotID,.geo
00000000000000000000_0,0.406143,A02,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001_0,0.02604272,A011,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002_0,0.04973254,A010,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003_0,0.19684377,A03,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004_0,0.11310167,A07,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005_0,0.16796257,A06,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006_0,0.054764587,A09,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007_0,0.49051493,A04,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008_0,0.5218463,A05,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0,0.012954485,A08,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0,0.6099096,B0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b_0,0.5484029,B1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c_0,0.32548702,B117,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,0.07086294,B117b,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e_0,0.36974245,B118,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f_0,0.19530092,B119,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010_0,0.55148464,B2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011_0,0.41015682,B28,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012_0,0.6323204,B28b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0,0.66916686,B29,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0,0.6407782,B34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015_0,0.675834,B37,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0,0.6929851,B39,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0,0.53470135,B4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0,0.17386335,B52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0,0.10985297,B54,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0,0.45562306,B6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0,0.024153966,B64,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0,0.014275073,B67,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0,0.05231041,B69,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0,0.083132505,B77,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0,0.042882416,B84,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0,0.021461798,B86,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0,0.015256115,B90b,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0,0.079377666,B90c,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0,0.07766851,B90d,"{""type"":""MultiPoint"",""coordinates"":[]}"
