year,newyear
1_1_LC08_041034_20130630_SAP,2013
1_1_LC08_041034_20140617_SAP,2014
1_1_LC08_041034_20150620_SAP,2015
1_1_LC08_041034_20160622_SAP,2016
1_1_LC08_041034_20170625_SAP,2017
1_1_LC08_041034_20180628_SAP,2018
1_1_LC08_041034_20190615_SAP,2019
1_1_LC08_041034_20200617_SAP,2020
1_2_LE07_041034_19990702_SAP,1999
1_2_LE07_041034_20000618_SAP,2000
1_2_LE07_041034_20010621_SAP,2001
1_2_LE07_041034_20020624_SAP,2002
1_2_LE07_041034_20030830_SAP,2003
1_2_LE07_041034_20040629_SAP,2004
1_2_LE07_041034_20050702_SAP,2005
1_2_LE07_041034_20060619_SAP,2006
1_2_LE07_041034_20070622_SAP,2007
1_2_LE07_041034_20080624_SAP,2008
1_2_LE07_041034_20090627_SAP,2009
1_2_LE07_041034_20100630_SAP,2010
1_2_LE07_041034_20110617_SAP,2011
1_2_LE07_041034_20120619_SAP,2012
2_LT05_041034_19840630_SAP,1984
2_LT05_041034_19850617_SAP,1985
2_LT05_041034_19860620_SAP,1986
2_LT05_041034_19870725_SAP,1987
2_LT05_041034_19880711_SAP,1988
2_LT05_041034_19890628_SAP,1989
2_LT05_041034_19900903_SAP,1990
2_LT05_041034_19910704_SAP,1991
2_LT05_041034_19920620_SAP,1992
2_LT05_041034_19930623_SAP,1993
2_LT05_041034_19940626_SAP,1994
2_LT05_041034_19950629_SAP,1995
2_LT05_041034_19960615_SAP,1996
2_LT05_041034_19970618_SAP,1997
2_LT05_041034_19980621_SAP,1998
