year,newyear
1_1_LC08_041034_20130630_ConProb,2013
1_1_LC08_041034_20140617_ConProb,2014
1_1_LC08_041034_20150620_ConProb,2015
1_1_LC08_041034_20160622_ConProb,2016
1_1_LC08_041034_20170625_ConProb,2017
1_1_LC08_041034_20180628_ConProb,2018
1_1_LC08_041034_20190615_ConProb,2019
1_1_LC08_041034_20200617_ConProb,2020
1_2_LE07_041034_19990702_ConProb,1999
1_2_LE07_041034_20000618_ConProb,2000
1_2_LE07_041034_20010621_ConProb,2001
1_2_LE07_041034_20020624_ConProb,2002
1_2_LE07_041034_20030830_ConProb,2003
1_2_LE07_041034_20040629_ConProb,2004
1_2_LE07_041034_20050702_ConProb,2005
1_2_LE07_041034_20060619_ConProb,2006
1_2_LE07_041034_20070622_ConProb,2007
1_2_LE07_041034_20080624_ConProb,2008
1_2_LE07_041034_20090627_ConProb,2009
1_2_LE07_041034_20100630_ConProb,2010
1_2_LE07_041034_20110617_ConProb,2011
1_2_LE07_041034_20120619_ConProb,2012
2_LT05_041034_19840630_ConProb,1984
2_LT05_041034_19850617_ConProb,1985
2_LT05_041034_19860620_ConProb,1986
2_LT05_041034_19870725_ConProb,1987
2_LT05_041034_19880711_ConProb,1988
2_LT05_041034_19890628_ConProb,1989
2_LT05_041034_19900903_ConProb,1990
2_LT05_041034_19910704_ConProb,1991
2_LT05_041034_19920620_ConProb,1992
2_LT05_041034_19930623_ConProb,1993
2_LT05_041034_19940626_ConProb,1994
2_LT05_041034_19950629_ConProb,1995
2_LT05_041034_19960615_ConProb,1996
2_LT05_041034_19970618_ConProb,1997
2_LT05_041034_19980621_ConProb,1998
