year,newyear,period
198401_ppt_sum,1984,JanSept
198501_ppt_sum,1985,JanSept
198601_ppt_sum,1986,JanSept
198701_ppt_sum,1987,JanSept
198801_ppt_sum,1988,JanSept
198901_ppt_sum,1989,JanSept
199001_ppt_sum,1990,JanSept
199101_ppt_sum,1991,JanSept
199201_ppt_sum,1992,JanSept
199301_ppt_sum,1993,JanSept
199401_ppt_sum,1994,JanSept
199501_ppt_sum,1995,JanSept
199601_ppt_sum,1996,JanSept
199701_ppt_sum,1997,JanSept
199801_ppt_sum,1998,JanSept
199901_ppt_sum,1999,JanSept
200001_ppt_sum,2000,JanSept
200101_ppt_sum,2001,JanSept
200201_ppt_sum,2002,JanSept
200301_ppt_sum,2003,JanSept
200401_ppt_sum,2004,JanSept
200501_ppt_sum,2005,JanSept
200601_ppt_sum,2006,JanSept
200701_ppt_sum,2007,JanSept
200801_ppt_sum,2008,JanSept
200901_ppt_sum,2009,JanSept
201001_ppt_sum,2010,JanSept
201101_ppt_sum,2011,JanSept
201201_ppt_sum,2012,JanSept
201301_ppt_sum,2013,JanSept
201401_ppt_sum,2014,JanSept
201501_ppt_sum,2015,JanSept
201601_ppt_sum,2016,JanSept
201701_ppt_sum,2017,JanSept
201801_ppt_sum,2018,JanSept
201901_ppt_sum,2019,JanSept
202001_ppt_sum,2020,JanSept
198410_ppt_sum,1984,OctDec
198510_ppt_sum,1985,OctDec
198610_ppt_sum,1986,OctDec
198710_ppt_sum,1987,OctDec
198810_ppt_sum,1988,OctDec
198910_ppt_sum,1989,OctDec
199010_ppt_sum,1990,OctDec
199110_ppt_sum,1991,OctDec
199210_ppt_sum,1992,OctDec
199310_ppt_sum,1993,OctDec
199410_ppt_sum,1994,OctDec
199510_ppt_sum,1995,OctDec
199610_ppt_sum,1996,OctDec
199710_ppt_sum,1997,OctDec
199810_ppt_sum,1998,OctDec
199910_ppt_sum,1999,OctDec
200010_ppt_sum,2000,OctDec
200110_ppt_sum,2001,OctDec
200210_ppt_sum,2002,OctDec
200310_ppt_sum,2003,OctDec
200410_ppt_sum,2004,OctDec
200510_ppt_sum,2005,OctDec
200610_ppt_sum,2006,OctDec
200710_ppt_sum,2007,OctDec
200810_ppt_sum,2008,OctDec
200910_ppt_sum,2009,OctDec
201010_ppt_sum,2010,OctDec
201110_ppt_sum,2011,OctDec
201210_ppt_sum,2012,OctDec
201310_ppt_sum,2013,OctDec
201410_ppt_sum,2014,OctDec
201510_ppt_sum,2015,OctDec
201610_ppt_sum,2016,OctDec
201710_ppt_sum,2017,OctDec
201810_ppt_sum,2018,OctDec
201910_ppt_sum,2019,OctDec
202010_ppt_sum,2020,OctDec
